LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:23:01,0                 
Time,Ampl
4.5438146e-07,-0.0101207
4.5443146e-07,-0.0101757
4.5448146e-07,-0.010324
4.5453146e-07,-0.0105704
4.5458146e-07,-0.0108664
4.5463146e-07,-0.0110806
4.5468146e-07,-0.0110854
4.5473146e-07,-0.0109069
4.5478146e-07,-0.0107091
4.5483146e-07,-0.0106171
4.5488146e-07,-0.0106315
4.5493146e-07,-0.0107194
4.5498146e-07,-0.0108499
4.5503146e-07,-0.0109227
4.5508146e-07,-0.0107936
4.5513146e-07,-0.010462
4.5518146e-07,-0.0101365
4.5523146e-07,-0.0100439
4.5528146e-07,-0.0102285
4.5533146e-07,-0.0105444
4.5538146e-07,-0.0107888
4.5543146e-07,-0.0108032
4.5548146e-07,-0.0105341
4.5553146e-07,-0.0100878
4.5558146e-07,-0.00972392
4.5563146e-07,-0.00969028
4.5568146e-07,-0.0100095
4.5573146e-07,-0.0104503
4.5578146e-07,-0.0107181
4.5583146e-07,-0.010705
4.5588146e-07,-0.0105643
4.5593146e-07,-0.010532
4.5598146e-07,-0.0106755
4.5603146e-07,-0.010865
4.5608146e-07,-0.0109659
4.5613146e-07,-0.0109728
4.5618146e-07,-0.0109597
4.5623146e-07,-0.0109652
4.5628146e-07,-0.0109707
4.5633146e-07,-0.0109666
4.5638146e-07,-0.010968
4.5643146e-07,-0.010968
4.5648146e-07,-0.010924
4.5653146e-07,-0.0108409
4.5658146e-07,-0.0108066
4.5663146e-07,-0.0108849
4.5668146e-07,-0.0110119
4.5673146e-07,-0.0110304
4.5678146e-07,-0.0108464
4.5683146e-07,-0.0105492
4.5688146e-07,-0.0103583
4.5693146e-07,-0.0103789
4.5698146e-07,-0.0104496
4.5703146e-07,-0.0103507
4.5708146e-07,-0.0101393
4.5713146e-07,-0.0100926
4.5718146e-07,-0.0103233
4.5723146e-07,-0.0106219
4.5728146e-07,-0.0107407
4.5733146e-07,-0.0106899
4.5738146e-07,-0.0106666
4.5743146e-07,-0.0107613
4.5748146e-07,-0.0108746
4.5753146e-07,-0.0109213
4.5758146e-07,-0.01097
4.5763146e-07,-0.0111073
4.5768146e-07,-0.0112591
4.5773146e-07,-0.0112865
4.5778146e-07,-0.0111938
4.5783146e-07,-0.0111073
4.5788146e-07,-0.0110565
4.5793146e-07,-0.010924
4.5798146e-07,-0.0106254
4.5803146e-07,-0.0102354
4.5808146e-07,-0.00991135
4.5813146e-07,-0.00976236
4.5818146e-07,-0.00979326
4.5823146e-07,-0.00994156
4.5828146e-07,-0.0101111
4.5833146e-07,-0.0101764
4.5838146e-07,-0.0100487
4.5843146e-07,-0.00979326
4.5848146e-07,-0.00961956
4.5853146e-07,-0.00968204
4.5858146e-07,-0.00993538
4.5863146e-07,-0.0102292
4.5868146e-07,-0.0104846
4.5873146e-07,-0.0107407
4.5878146e-07,-0.0110325
4.5883146e-07,-0.0112591
4.5888146e-07,-0.0112714
4.5893146e-07,-0.0110819
4.5898146e-07,-0.0108657
4.5903146e-07,-0.0107332
4.5908146e-07,-0.0106473
4.5913146e-07,-0.0105979
4.5918146e-07,-0.010646
4.5923146e-07,-0.0107338
4.5928146e-07,-0.0106439
4.5933146e-07,-0.0102793
4.5938146e-07,-0.00983926
4.5943146e-07,-0.00963192
4.5948146e-07,-0.00973422
4.5953146e-07,-0.00993332
4.5958146e-07,-0.00999168
4.5963146e-07,-0.00988183
4.5968146e-07,-0.00975962
4.5973146e-07,-0.00979944
4.5978146e-07,-0.0100514
4.5983146e-07,-0.010407
4.5988146e-07,-0.0106865
4.5993146e-07,-0.0107833
4.5998146e-07,-0.010751
4.6003146e-07,-0.0107352
4.6008146e-07,-0.0108087
4.6013146e-07,-0.0109158
4.6018146e-07,-0.0109865
4.6023146e-07,-0.0110298
4.6028146e-07,-0.0110895
4.6033146e-07,-0.0111774
4.6038146e-07,-0.0112831
4.6043146e-07,-0.0113648
4.6048146e-07,-0.0113401
4.6053146e-07,-0.0111602
4.6058146e-07,-0.0108664
4.6063146e-07,-0.0105553
4.6068146e-07,-0.0103082
4.6073146e-07,-0.0101626
4.6078146e-07,-0.0101166
4.6083146e-07,-0.010129
4.6088146e-07,-0.0101462
4.6093146e-07,-0.0101633
4.6098146e-07,-0.0102093
4.6103146e-07,-0.0102553
4.6108146e-07,-0.0102031
4.6113146e-07,-0.0100315
4.6118146e-07,-0.00990242
4.6123146e-07,-0.0100397
4.6128146e-07,-0.0104496
4.6133146e-07,-0.010867
4.6138146e-07,-0.0110504
4.6143146e-07,-0.0110298
4.6148146e-07,-0.0110071
4.6153146e-07,-0.0110895
4.6158146e-07,-0.0112014
4.6163146e-07,-0.0112103
4.6168146e-07,-0.0111053
4.6173146e-07,-0.0110366
4.6178146e-07,-0.0111272
4.6183146e-07,-0.0112687
4.6188146e-07,-0.0112048
4.6193146e-07,-0.0108458
4.6198146e-07,-0.0104009
4.6203146e-07,-0.0101585
4.6208146e-07,-0.0102114
4.6213146e-07,-0.0104235
4.6218146e-07,-0.0105732
4.6223146e-07,-0.0105169
4.6228146e-07,-0.010291
4.6233146e-07,-0.0100809
4.6238146e-07,-0.0100267
4.6243146e-07,-0.0100809
4.6248146e-07,-0.0101036
4.6253146e-07,-0.0100727
4.6258146e-07,-0.0100857
4.6263146e-07,-0.0101702
4.6268146e-07,-0.0102471
4.6273146e-07,-0.0102951
4.6278146e-07,-0.0104016
4.6283146e-07,-0.010589
4.6288146e-07,-0.0107641
4.6293146e-07,-0.010865
4.6298146e-07,-0.0109261
4.6303146e-07,-0.010981
4.6308146e-07,-0.0110201
4.6313146e-07,-0.0110497
4.6318146e-07,-0.0110751
4.6323146e-07,-0.0110332
4.6328146e-07,-0.0108176
4.6333146e-07,-0.0104393
4.6338146e-07,-0.01005
4.6343146e-07,-0.00980287
4.6348146e-07,-0.00975619
4.6353146e-07,-0.00987839
4.6358146e-07,-0.010061
4.6363146e-07,-0.0101427
4.6368146e-07,-0.0100363
4.6373146e-07,-0.00986398
4.6378146e-07,-0.00986672
4.6383146e-07,-0.0101317
4.6388146e-07,-0.0104874
4.6393146e-07,-0.0107105
4.6398146e-07,-0.0107373
4.6403146e-07,-0.0106274
