LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:43:51,0                 
Time,Ampl
4.5691295E-07,-0.010202
4.5696295E-07,-0.010212
4.5701295E-07,-0.010223
4.5706295E-07,-0.010233
4.5711295E-07,-0.010241
4.5716295E-07,-0.010249
4.5721295E-07,-0.010256
4.5726295E-07,-0.010262
4.5731295E-07,-0.010266
4.5736295E-07,-0.010270
4.5741295E-07,-0.010273
4.5746295E-07,-0.010276
4.5751295E-07,-0.010279
4.5756295E-07,-0.010282
4.5761295E-07,-0.010286
4.5766295E-07,-0.010292
4.5771295E-07,-0.010298
4.5776295E-07,-0.010306
4.5781295E-07,-0.010316
4.5786295E-07,-0.010327
4.5791295E-07,-0.010340
4.5796295E-07,-0.010354
4.5801295E-07,-0.010369
4.5806295E-07,-0.010384
4.5811295E-07,-0.010399
4.5816295E-07,-0.010413
4.5821295E-07,-0.010426
4.5826295E-07,-0.010438
4.5831295E-07,-0.010447
4.5836295E-07,-0.010454
4.5841295E-07,-0.010457
4.5846295E-07,-0.010458
4.5851295E-07,-0.010455
4.5856295E-07,-0.010448
4.5861295E-07,-0.010438
4.5866295E-07,-0.010426
4.5871295E-07,-0.010411
4.5876295E-07,-0.010394
4.5881295E-07,-0.010375
4.5886295E-07,-0.010355
4.5891295E-07,-0.010335
4.5896295E-07,-0.010316
4.5901295E-07,-0.010297
4.5906295E-07,-0.010279
4.5911295E-07,-0.010263
4.5916295E-07,-0.010250
4.5921295E-07,-0.010238
4.5926295E-07,-0.010229
4.5931295E-07,-0.010221
4.5936295E-07,-0.010216
4.5941295E-07,-0.010213
4.5946295E-07,-0.010211
4.5951295E-07,-0.010210
4.5956295E-07,-0.010209
4.5961295E-07,-0.010209
4.5966295E-07,-0.010208
4.5971295E-07,-0.010207
4.5976295E-07,-0.010205
4.5981295E-07,-0.010202
4.5986295E-07,-0.010198
4.5991295E-07,-0.010193
4.5996295E-07,-0.010187
4.6001295E-07,-0.010181
4.6006295E-07,-0.010173
4.6011295E-07,-0.010166
4.6016295E-07,-0.010159
4.6021295E-07,-0.010153
4.6026295E-07,-0.010148
4.6031295E-07,-0.010144
4.6036295E-07,-0.010141
4.6041295E-07,-0.010141
4.6046295E-07,-0.010143
4.6051295E-07,-0.010147
4.6056295E-07,-0.010153
4.6061295E-07,-0.010160
4.6066295E-07,-0.010169
4.6071295E-07,-0.010180
4.6076295E-07,-0.010191
4.6081295E-07,-0.010202
4.6086295E-07,-0.010213
4.6091295E-07,-0.010224
4.6096295E-07,-0.010234
4.6101295E-07,-0.010242
4.6106295E-07,-0.010249
4.6111295E-07,-0.010254
4.6116295E-07,-0.010256
4.6121295E-07,-0.010257
4.6126295E-07,-0.010255
4.6131295E-07,-0.010252
4.6136295E-07,-0.010247
4.6141295E-07,-0.010241
4.6146295E-07,-0.010234
4.6151295E-07,-0.010227
4.6156295E-07,-0.010220
4.6161295E-07,-0.010213
4.6166295E-07,-0.010207
