LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:29:38,0                 
Time,Ampl
4.5693842E-07,-0.010624
4.5698842E-07,-0.010633
4.5703842E-07,-0.010642
4.5708842E-07,-0.010651
4.5713842E-07,-0.010658
4.5718842E-07,-0.010663
4.5723842E-07,-0.010666
4.5728842E-07,-0.010667
4.5733842E-07,-0.010665
4.5738842E-07,-0.010660
4.5743842E-07,-0.010653
4.5748842E-07,-0.010644
4.5753842E-07,-0.010632
4.5758842E-07,-0.010619
4.5763842E-07,-0.010605
4.5768842E-07,-0.010589
4.5773842E-07,-0.010574
4.5778842E-07,-0.010559
4.5783842E-07,-0.010545
4.5788842E-07,-0.010532
4.5793842E-07,-0.010521
4.5798842E-07,-0.010513
4.5803842E-07,-0.010506
4.5808842E-07,-0.010503
4.5813842E-07,-0.010502
4.5818842E-07,-0.010504
4.5823842E-07,-0.010508
4.5828842E-07,-0.010515
4.5833842E-07,-0.010523
4.5838842E-07,-0.010532
4.5843842E-07,-0.010542
4.5848842E-07,-0.010552
4.5853842E-07,-0.010562
4.5858842E-07,-0.010572
4.5863842E-07,-0.010580
4.5868842E-07,-0.010586
4.5873842E-07,-0.010591
4.5878842E-07,-0.010593
4.5883842E-07,-0.010594
4.5888842E-07,-0.010593
4.5893842E-07,-0.010591
4.5898842E-07,-0.010586
4.5903842E-07,-0.010581
4.5908842E-07,-0.010576
4.5913842E-07,-0.010570
4.5918842E-07,-0.010564
4.5923842E-07,-0.010560
4.5928842E-07,-0.010556
4.5933842E-07,-0.010554
4.5938842E-07,-0.010554
4.5943842E-07,-0.010556
4.5948842E-07,-0.010561
4.5953842E-07,-0.010567
4.5958842E-07,-0.010575
4.5963842E-07,-0.010585
4.5968842E-07,-0.010597
4.5973842E-07,-0.010610
4.5978842E-07,-0.010623
4.5983842E-07,-0.010637
4.5988842E-07,-0.010651
4.5993842E-07,-0.010664
4.5998842E-07,-0.010677
4.6003842E-07,-0.010689
4.6008842E-07,-0.010700
4.6013842E-07,-0.010709
4.6018842E-07,-0.010717
4.6023842E-07,-0.010724
4.6028842E-07,-0.010731
4.6033842E-07,-0.010736
4.6038842E-07,-0.010741
4.6043842E-07,-0.010745
4.6048842E-07,-0.010749
4.6053842E-07,-0.010754
4.6058842E-07,-0.010760
4.6063842E-07,-0.010766
4.6068842E-07,-0.010773
4.6073842E-07,-0.010780
4.6078842E-07,-0.010789
4.6083842E-07,-0.010798
4.6088842E-07,-0.010808
4.6093842E-07,-0.010819
4.6098842E-07,-0.010829
4.6103842E-07,-0.010839
4.6108842E-07,-0.010847
4.6113842E-07,-0.010855
4.6118842E-07,-0.010862
4.6123842E-07,-0.010866
4.6128842E-07,-0.010869
4.6133842E-07,-0.010869
4.6138842E-07,-0.010867
4.6143842E-07,-0.010863
4.6148842E-07,-0.010857
4.6153842E-07,-0.010849
4.6158842E-07,-0.010840
4.6163842E-07,-0.010829
4.6168842E-07,-0.010818
4.6173842E-07,-0.010806
4.6178842E-07,-0.010794
4.6183842E-07,-0.010783
4.6188842E-07,-0.010773
4.6193842E-07,-0.010764
4.6198842E-07,-0.010757
4.6203842E-07,-0.010751
4.6208842E-07,-0.010747
4.6213842E-07,-0.010745
4.6218842E-07,-0.010744
4.6223842E-07,-0.010744
4.6228842E-07,-0.010746
4.6233842E-07,-0.010748
4.6238842E-07,-0.010750
4.6243842E-07,-0.010752
4.6248842E-07,-0.010753
4.6253842E-07,-0.010754
4.6258842E-07,-0.010753
4.6263842E-07,-0.010750
4.6268842E-07,-0.010745
4.6273842E-07,-0.010739
4.6278842E-07,-0.010730
4.6283842E-07,-0.010719
4.6288842E-07,-0.010707
4.6293842E-07,-0.010693
4.6298842E-07,-0.010677
4.6303842E-07,-0.010661
4.6308842E-07,-0.010644
4.6313842E-07,-0.010627
4.6318842E-07,-0.010610
4.6323842E-07,-0.010594
4.6328842E-07,-0.010578
4.6333842E-07,-0.010565
4.6338842E-07,-0.010552
4.6343842E-07,-0.010542
4.6348842E-07,-0.010533
4.6353842E-07,-0.010526
4.6358842E-07,-0.010520
4.6363842E-07,-0.010517
4.6368842E-07,-0.010514
4.6373842E-07,-0.010513
4.6378842E-07,-0.010513
4.6383842E-07,-0.010514
4.6388842E-07,-0.010515
4.6393842E-07,-0.010516
4.6398842E-07,-0.010517
4.6403842E-07,-0.010518
4.6408842E-07,-0.010519
4.6413842E-07,-0.010520
4.6418842E-07,-0.010520
4.6423842E-07,-0.010521
4.6428842E-07,-0.010521
4.6433842E-07,-0.010522
4.6438842E-07,-0.010524
4.6443842E-07,-0.010526
4.6448842E-07,-0.010529
4.6453842E-07,-0.010533
4.6458842E-07,-0.010539
4.6463842E-07,-0.010546
4.6468842E-07,-0.010555
4.6473842E-07,-0.010565
4.6478842E-07,-0.010577
4.6483842E-07,-0.010591
4.6488842E-07,-0.010605
4.6493842E-07,-0.010621
4.6498842E-07,-0.010636
4.6503842E-07,-0.010652
4.6508842E-07,-0.010668
4.6513842E-07,-0.010683
4.6518842E-07,-0.010697
4.6523842E-07,-0.010709
4.6528842E-07,-0.010719
4.6533842E-07,-0.010727
4.6538842E-07,-0.010733
4.6543842E-07,-0.010736
4.6548842E-07,-0.010737
4.6553842E-07,-0.010735
4.6558842E-07,-0.010732
4.6563842E-07,-0.010726
4.6568842E-07,-0.010720
4.6573842E-07,-0.010712
4.6578842E-07,-0.010704
4.6583842E-07,-0.010696
4.6588842E-07,-0.010688
4.6593842E-07,-0.010681
4.6598842E-07,-0.010676
4.6603842E-07,-0.010673
4.6608842E-07,-0.010672
4.6613842E-07,-0.010674
4.6618842E-07,-0.010677
4.6623842E-07,-0.010684
4.6628842E-07,-0.010692
4.6633842E-07,-0.010703
4.6638842E-07,-0.010716
4.6643842E-07,-0.010729
4.6648842E-07,-0.010744
4.6653842E-07,-0.010760
4.6658842E-07,-0.010775
4.6663842E-07,-0.010790
4.6668842E-07,-0.010804
4.6673842E-07,-0.010818
4.6678842E-07,-0.010829
4.6683842E-07,-0.010839
4.6688842E-07,-0.010847
4.6693842E-07,-0.010853
4.6698842E-07,-0.010858
4.6703842E-07,-0.010860
4.6708842E-07,-0.010861
4.6713842E-07,-0.010861
4.6718842E-07,-0.010859
4.6723842E-07,-0.010857
4.6728842E-07,-0.010854
4.6733842E-07,-0.010851
4.6738842E-07,-0.010849
4.6743842E-07,-0.010846
4.6748842E-07,-0.010843
4.6753842E-07,-0.010841
4.6758842E-07,-0.010840
4.6763842E-07,-0.010839
4.6768842E-07,-0.010838
4.6773842E-07,-0.010838
4.6778842E-07,-0.010838
4.6783842E-07,-0.010838
4.6788842E-07,-0.010838
4.6793842E-07,-0.010837
4.6798842E-07,-0.010836
4.6803842E-07,-0.010834
4.6808842E-07,-0.010832
4.6813842E-07,-0.010829
4.6818842E-07,-0.010825
4.6823842E-07,-0.010822
4.6828842E-07,-0.010817
4.6833842E-07,-0.010813
4.6838842E-07,-0.010808
4.6843842E-07,-0.010804
4.6848842E-07,-0.010800
4.6853842E-07,-0.010797
4.6858842E-07,-0.010795
4.6863842E-07,-0.010793
4.6868842E-07,-0.010792
4.6873842E-07,-0.010792
4.6878842E-07,-0.010793
4.6883842E-07,-0.010795
4.6888842E-07,-0.010797
4.6893842E-07,-0.010800
4.6898842E-07,-0.010803
4.6903842E-07,-0.010805
4.6908842E-07,-0.010807
4.6913842E-07,-0.010809
4.6918842E-07,-0.010809
4.6923842E-07,-0.010809
4.6928842E-07,-0.010807
4.6933842E-07,-0.010803
4.6938842E-07,-0.010798
4.6943842E-07,-0.010792
4.6948842E-07,-0.010784
4.6953842E-07,-0.010775
4.6958842E-07,-0.010764
4.6963842E-07,-0.010753
4.6968842E-07,-0.010742
4.6973842E-07,-0.010730
4.6978842E-07,-0.010719
4.6983842E-07,-0.010708
4.6988842E-07,-0.010699
4.6993842E-07,-0.010690
4.6998842E-07,-0.010683
4.7003842E-07,-0.010677
4.7008842E-07,-0.010673
4.7013842E-07,-0.010670
4.7018842E-07,-0.010669
4.7023842E-07,-0.010670
4.7028842E-07,-0.010671
4.7033842E-07,-0.010673
4.7038842E-07,-0.010676
4.7043842E-07,-0.010679
4.7048842E-07,-0.010681
4.7053842E-07,-0.010683
4.7058842E-07,-0.010685
4.7063842E-07,-0.010685
4.7068842E-07,-0.010684
4.7073842E-07,-0.010682
4.7078842E-07,-0.010679
4.7083842E-07,-0.010675
4.7088842E-07,-0.010670
4.7093842E-07,-0.010664
4.7098842E-07,-0.010658
4.7103842E-07,-0.010651
4.7108842E-07,-0.010645
4.7113842E-07,-0.010640
4.7118842E-07,-0.010636
4.7123842E-07,-0.010634
4.7128842E-07,-0.010633
4.7133842E-07,-0.010635
4.7138842E-07,-0.010638
4.7143842E-07,-0.010644
4.7148842E-07,-0.010651
4.7153842E-07,-0.010661
4.7158842E-07,-0.010672
4.7163842E-07,-0.010684
4.7168842E-07,-0.010697
4.7173842E-07,-0.010710
4.7178842E-07,-0.010723
4.7183842E-07,-0.010735
4.7188842E-07,-0.010746
4.7193842E-07,-0.010755
4.7198842E-07,-0.010762
4.7203842E-07,-0.010765
4.7208842E-07,-0.010767
4.7213842E-07,-0.010765
4.7218842E-07,-0.010760
4.7223842E-07,-0.010752
4.7228842E-07,-0.010741
4.7233842E-07,-0.010728
4.7238842E-07,-0.010713
4.7243842E-07,-0.010697
4.7248842E-07,-0.010679
4.7253842E-07,-0.010662
4.7258842E-07,-0.010644
4.7263842E-07,-0.010627
4.7268842E-07,-0.010611
4.7273842E-07,-0.010596
4.7278842E-07,-0.010584
4.7283842E-07,-0.010573
4.7288842E-07,-0.010565
4.7293842E-07,-0.010559
4.7298842E-07,-0.010556
4.7303842E-07,-0.010554
4.7308842E-07,-0.010554
4.7313842E-07,-0.010556
4.7318842E-07,-0.010559
4.7323842E-07,-0.010562
4.7328842E-07,-0.010566
4.7333842E-07,-0.010570
4.7338842E-07,-0.010574
4.7343842E-07,-0.010576
4.7348842E-07,-0.010578
4.7353842E-07,-0.010579
4.7358842E-07,-0.010578
4.7363842E-07,-0.010576
4.7368842E-07,-0.010573
4.7373842E-07,-0.010569
4.7378842E-07,-0.010564
4.7383842E-07,-0.010559
4.7388842E-07,-0.010553
4.7393842E-07,-0.010548
4.7398842E-07,-0.010542
4.7403842E-07,-0.010537
4.7408842E-07,-0.010532
4.7413842E-07,-0.010528
4.7418842E-07,-0.010525
4.7423842E-07,-0.010523
4.7428842E-07,-0.010522
4.7433842E-07,-0.010521
4.7438842E-07,-0.010521
4.7443842E-07,-0.010521
4.7448842E-07,-0.010521
4.7453842E-07,-0.010521
4.7458842E-07,-0.010520
4.7463842E-07,-0.010519
4.7468842E-07,-0.010516
4.7473842E-07,-0.010512
4.7478842E-07,-0.010507
4.7483842E-07,-0.010501
4.7488842E-07,-0.010493
4.7493842E-07,-0.010484
4.7498842E-07,-0.010474
4.7503842E-07,-0.010463
4.7508842E-07,-0.010452
4.7513842E-07,-0.010441
4.7518842E-07,-0.010429
4.7523842E-07,-0.010419
4.7528842E-07,-0.010409
4.7533842E-07,-0.010400
4.7538842E-07,-0.010393
4.7543842E-07,-0.010388
4.7548842E-07,-0.010385
4.7553842E-07,-0.010384
4.7558842E-07,-0.010385
4.7563842E-07,-0.010388
4.7568842E-07,-0.010393
4.7573842E-07,-0.010399
4.7578842E-07,-0.010407
4.7583842E-07,-0.010416
4.7588842E-07,-0.010426
4.7593842E-07,-0.010436
4.7598842E-07,-0.010446
4.7603842E-07,-0.010456
4.7608842E-07,-0.010465
4.7613842E-07,-0.010473
4.7618842E-07,-0.010481
4.7623842E-07,-0.010488
4.7628842E-07,-0.010493
4.7633842E-07,-0.010497
4.7638842E-07,-0.010501
4.7643842E-07,-0.010503
4.7648842E-07,-0.010505
4.7653842E-07,-0.010507
4.7658842E-07,-0.010508
4.7663842E-07,-0.010509
4.7668842E-07,-0.010511
4.7673842E-07,-0.010512
4.7678842E-07,-0.010515
4.7683842E-07,-0.010517
4.7688842E-07,-0.010521
4.7693842E-07,-0.010525
4.7698842E-07,-0.010529
4.7703842E-07,-0.010534
4.7708842E-07,-0.010539
4.7713842E-07,-0.010544
4.7718842E-07,-0.010549
4.7723842E-07,-0.010554
4.7728842E-07,-0.010558
4.7733842E-07,-0.010561
4.7738842E-07,-0.010564
4.7743842E-07,-0.010566
4.7748842E-07,-0.010566
4.7753842E-07,-0.010566
4.7758842E-07,-0.010565
4.7763842E-07,-0.010564
4.7768842E-07,-0.010562
4.7773842E-07,-0.010561
4.7778842E-07,-0.010559
4.7783842E-07,-0.010558
4.7788842E-07,-0.010557
4.7793842E-07,-0.010558
4.7798842E-07,-0.010560
4.7803842E-07,-0.010563
4.7808842E-07,-0.010568
4.7813842E-07,-0.010575
4.7818842E-07,-0.010583
4.7823842E-07,-0.010593
4.7828842E-07,-0.010603
4.7833842E-07,-0.010615
4.7838842E-07,-0.010628
4.7843842E-07,-0.010641
4.7848842E-07,-0.010654
4.7853842E-07,-0.010667
4.7858842E-07,-0.010679
4.7863842E-07,-0.010689
4.7868842E-07,-0.010699
4.7873842E-07,-0.010707
4.7878842E-07,-0.010713
4.7883842E-07,-0.010718
4.7888842E-07,-0.010720
4.7893842E-07,-0.010722
4.7898842E-07,-0.010721
4.7903842E-07,-0.010720
4.7908842E-07,-0.010718
4.7913842E-07,-0.010715
4.7918842E-07,-0.010712
4.7923842E-07,-0.010709
4.7928842E-07,-0.010708
4.7933842E-07,-0.010707
4.7938842E-07,-0.010708
4.7943842E-07,-0.010710
4.7948842E-07,-0.010714
4.7953842E-07,-0.010719
4.7958842E-07,-0.010727
4.7963842E-07,-0.010736
4.7968842E-07,-0.010746
4.7973842E-07,-0.010757
4.7978842E-07,-0.010769
4.7983842E-07,-0.010782
4.7988842E-07,-0.010794
4.7993842E-07,-0.010806
4.7998842E-07,-0.010817
4.8003842E-07,-0.010827
4.8008842E-07,-0.010835
4.8013842E-07,-0.010841
4.8018842E-07,-0.010845
4.8023842E-07,-0.010847
4.8028842E-07,-0.010847
4.8033842E-07,-0.010846
4.8038842E-07,-0.010842
4.8043842E-07,-0.010838
4.8048842E-07,-0.010832
4.8053842E-07,-0.010826
4.8058842E-07,-0.010819
4.8063842E-07,-0.010813
4.8068842E-07,-0.010808
4.8073842E-07,-0.010803
4.8078842E-07,-0.010800
4.8083842E-07,-0.010798
4.8088842E-07,-0.010797
4.8093842E-07,-0.010798
4.8098842E-07,-0.010801
4.8103842E-07,-0.010806
4.8108842E-07,-0.010811
4.8113842E-07,-0.010818
4.8118842E-07,-0.010825
4.8123842E-07,-0.010832
4.8128842E-07,-0.010839
4.8133842E-07,-0.010846
4.8138842E-07,-0.010851
4.8143842E-07,-0.010856
4.8148842E-07,-0.010859
4.8153842E-07,-0.010861
4.8158842E-07,-0.010861
4.8163842E-07,-0.010859
4.8168842E-07,-0.010856
4.8173842E-07,-0.010851
4.8178842E-07,-0.010845
4.8183842E-07,-0.010838
4.8188842E-07,-0.010830
4.8193842E-07,-0.010822
4.8198842E-07,-0.010814
4.8203842E-07,-0.010807
4.8208842E-07,-0.010800
4.8213842E-07,-0.010793
4.8218842E-07,-0.010788
4.8223842E-07,-0.010783
4.8228842E-07,-0.010780
4.8233842E-07,-0.010777
4.8238842E-07,-0.010775
4.8243842E-07,-0.010774
4.8248842E-07,-0.010773
4.8253842E-07,-0.010773
4.8258842E-07,-0.010772
4.8263842E-07,-0.010771
4.8268842E-07,-0.010769
4.8273842E-07,-0.010766
4.8278842E-07,-0.010763
4.8283842E-07,-0.010758
4.8288842E-07,-0.010753
4.8293842E-07,-0.010746
4.8298842E-07,-0.010738
4.8303842E-07,-0.010730
4.8308842E-07,-0.010722
4.8313842E-07,-0.010713
4.8318842E-07,-0.010705
4.8323842E-07,-0.010697
4.8328842E-07,-0.010690
4.8333842E-07,-0.010685
4.8338842E-07,-0.010681
4.8343842E-07,-0.010678
4.8348842E-07,-0.010678
4.8353842E-07,-0.010679
4.8358842E-07,-0.010683
4.8363842E-07,-0.010688
4.8368842E-07,-0.010695
4.8373842E-07,-0.010704
4.8378842E-07,-0.010713
4.8383842E-07,-0.010723
4.8388842E-07,-0.010734
4.8393842E-07,-0.010744
4.8398842E-07,-0.010754
4.8403842E-07,-0.010763
4.8408842E-07,-0.010771
4.8413842E-07,-0.010778
4.8418842E-07,-0.010782
4.8423842E-07,-0.010785
4.8428842E-07,-0.010786
4.8433842E-07,-0.010785
4.8438842E-07,-0.010782
4.8443842E-07,-0.010777
4.8448842E-07,-0.010771
4.8453842E-07,-0.010764
4.8458842E-07,-0.010755
4.8463842E-07,-0.010746
4.8468842E-07,-0.010737
4.8473842E-07,-0.010728
4.8478842E-07,-0.010719
4.8483842E-07,-0.010710
4.8488842E-07,-0.010703
4.8493842E-07,-0.010696
4.8498842E-07,-0.010690
4.8503842E-07,-0.010685
4.8508842E-07,-0.010681
4.8513842E-07,-0.010678
4.8518842E-07,-0.010676
4.8523842E-07,-0.010674
4.8528842E-07,-0.010673
4.8533842E-07,-0.010672
4.8538842E-07,-0.010671
4.8543842E-07,-0.010670
4.8548842E-07,-0.010669
4.8553842E-07,-0.010668
4.8558842E-07,-0.010667
4.8563842E-07,-0.010665
4.8568842E-07,-0.010663
4.8573842E-07,-0.010660
4.8578842E-07,-0.010658
4.8583842E-07,-0.010655
4.8588842E-07,-0.010653
4.8593842E-07,-0.010650
4.8598842E-07,-0.010649
4.8603842E-07,-0.010647
4.8608842E-07,-0.010646
4.8613842E-07,-0.010646
4.8618842E-07,-0.010647
4.8623842E-07,-0.010648
4.8628842E-07,-0.010649
4.8633842E-07,-0.010651
4.8638842E-07,-0.010653
4.8643842E-07,-0.010655
4.8648842E-07,-0.010657
4.8653842E-07,-0.010658
4.8658842E-07,-0.010659
4.8663842E-07,-0.010658
4.8668842E-07,-0.010657
4.8673842E-07,-0.010654
4.8678842E-07,-0.010649
4.8683842E-07,-0.010643
4.8688842E-07,-0.010635
4.8693842E-07,-0.010626
4.8698842E-07,-0.010616
4.8703842E-07,-0.010604
4.8708842E-07,-0.010592
4.8713842E-07,-0.010579
4.8718842E-07,-0.010566
4.8723842E-07,-0.010553
4.8728842E-07,-0.010541
4.8733842E-07,-0.010530
4.8738842E-07,-0.010520
4.8743842E-07,-0.010512
4.8748842E-07,-0.010506
4.8753842E-07,-0.010503
4.8758842E-07,-0.010501
4.8763842E-07,-0.010502
4.8768842E-07,-0.010505
4.8773842E-07,-0.010511
4.8778842E-07,-0.010518
4.8783842E-07,-0.010527
4.8788842E-07,-0.010538
4.8793842E-07,-0.010550
4.8798842E-07,-0.010562
4.8803842E-07,-0.010575
4.8808842E-07,-0.010588
4.8813842E-07,-0.010600
4.8818842E-07,-0.010612
4.8823842E-07,-0.010623
4.8828842E-07,-0.010632
4.8833842E-07,-0.010641
4.8838842E-07,-0.010648
4.8843842E-07,-0.010653
4.8848842E-07,-0.010657
4.8853842E-07,-0.010660
4.8858842E-07,-0.010661
4.8863842E-07,-0.010662
4.8868842E-07,-0.010661
4.8873842E-07,-0.010660
4.8878842E-07,-0.010659
4.8883842E-07,-0.010658
4.8888842E-07,-0.010656
4.8893842E-07,-0.010654
4.8898842E-07,-0.010653
4.8903842E-07,-0.010652
4.8908842E-07,-0.010651
4.8913842E-07,-0.010650
4.8918842E-07,-0.010649
4.8923842E-07,-0.010649
4.8928842E-07,-0.010647
4.8933842E-07,-0.010646
4.8938842E-07,-0.010644
4.8943842E-07,-0.010641
4.8948842E-07,-0.010638
4.8953842E-07,-0.010634
4.8958842E-07,-0.010629
4.8963842E-07,-0.010623
4.8968842E-07,-0.010617
4.8973842E-07,-0.010610
4.8978842E-07,-0.010603
4.8983842E-07,-0.010596
4.8988842E-07,-0.010589
4.8993842E-07,-0.010583
4.8998842E-07,-0.010577
4.9003842E-07,-0.010573
4.9008842E-07,-0.010570
4.9013842E-07,-0.010569
4.9018842E-07,-0.010569
4.9023842E-07,-0.010572
4.9028842E-07,-0.010576
4.9033842E-07,-0.010583
4.9038842E-07,-0.010591
4.9043842E-07,-0.010602
4.9048842E-07,-0.010614
4.9053842E-07,-0.010628
4.9058842E-07,-0.010643
4.9063842E-07,-0.010658
4.9068842E-07,-0.010675
4.9073842E-07,-0.010691
4.9078842E-07,-0.010708
4.9083842E-07,-0.010724
4.9088842E-07,-0.010740
4.9093842E-07,-0.010755
4.9098842E-07,-0.010770
4.9103842E-07,-0.010784
4.9108842E-07,-0.010797
4.9113842E-07,-0.010810
4.9118842E-07,-0.010823
4.9123842E-07,-0.010836
4.9128842E-07,-0.010849
4.9133842E-07,-0.010863
4.9138842E-07,-0.010878
4.9143842E-07,-0.010894
4.9148842E-07,-0.010912
4.9153842E-07,-0.010932
4.9158842E-07,-0.010953
4.9163842E-07,-0.010977
4.9168842E-07,-0.011003
4.9173842E-07,-0.011032
4.9178842E-07,-0.011062
4.9183842E-07,-0.011095
4.9188842E-07,-0.011130
4.9193842E-07,-0.011166
4.9198842E-07,-0.011204
4.9203842E-07,-0.011243
