LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:26:54,0                 
Time,Ampl
4.5691491E-07,-0.010614
4.5696491E-07,-0.010616
4.5701491E-07,-0.010617
4.5706491E-07,-0.010618
4.5711491E-07,-0.010618
4.5716491E-07,-0.010617
4.5721491E-07,-0.010614
4.5726491E-07,-0.010609
4.5731491E-07,-0.010602
4.5736491E-07,-0.010593
4.5741491E-07,-0.010581
4.5746491E-07,-0.010567
4.5751491E-07,-0.010551
4.5756491E-07,-0.010534
4.5761491E-07,-0.010515
4.5766491E-07,-0.010496
4.5771491E-07,-0.010476
4.5776491E-07,-0.010456
4.5781491E-07,-0.010437
4.5786491E-07,-0.010419
4.5791491E-07,-0.010403
4.5796491E-07,-0.010389
4.5801491E-07,-0.010377
4.5806491E-07,-0.010367
4.5811491E-07,-0.010360
4.5816491E-07,-0.010354
4.5821491E-07,-0.010351
4.5826491E-07,-0.010349
4.5831491E-07,-0.010348
4.5836491E-07,-0.010348
4.5841491E-07,-0.010349
4.5846491E-07,-0.010349
4.5851491E-07,-0.010349
4.5856491E-07,-0.010349
4.5861491E-07,-0.010347
4.5866491E-07,-0.010344
4.5871491E-07,-0.010340
4.5876491E-07,-0.010335
4.5881491E-07,-0.010329
4.5886491E-07,-0.010322
4.5891491E-07,-0.010315
4.5896491E-07,-0.010308
4.5901491E-07,-0.010301
4.5906491E-07,-0.010294
4.5911491E-07,-0.010289
4.5916491E-07,-0.010286
4.5921491E-07,-0.010284
4.5926491E-07,-0.010284
4.5931491E-07,-0.010286
4.5936491E-07,-0.010290
4.5941491E-07,-0.010297
4.5946491E-07,-0.010306
4.5951491E-07,-0.010316
4.5956491E-07,-0.010328
4.5961491E-07,-0.010341
4.5966491E-07,-0.010354
4.5971491E-07,-0.010368
4.5976491E-07,-0.010382
4.5981491E-07,-0.010395
4.5986491E-07,-0.010408
4.5991491E-07,-0.010419
4.5996491E-07,-0.010428
4.6001491E-07,-0.010436
4.6006491E-07,-0.010443
4.6011491E-07,-0.010447
4.6016491E-07,-0.010450
4.6021491E-07,-0.010451
4.6026491E-07,-0.010452
4.6031491E-07,-0.010451
4.6036491E-07,-0.010449
4.6041491E-07,-0.010447
4.6046491E-07,-0.010445
4.6051491E-07,-0.010443
4.6056491E-07,-0.010442
4.6061491E-07,-0.010442
4.6066491E-07,-0.010443
4.6071491E-07,-0.010446
4.6076491E-07,-0.010450
4.6081491E-07,-0.010456
4.6086491E-07,-0.010463
4.6091491E-07,-0.010472
4.6096491E-07,-0.010483
4.6101491E-07,-0.010494
4.6106491E-07,-0.010507
4.6111491E-07,-0.010520
4.6116491E-07,-0.010534
4.6121491E-07,-0.010548
4.6126491E-07,-0.010562
4.6131491E-07,-0.010575
4.6136491E-07,-0.010588
4.6141491E-07,-0.010599
4.6146491E-07,-0.010609
4.6151491E-07,-0.010618
4.6156491E-07,-0.010626
4.6161491E-07,-0.010632
4.6166491E-07,-0.010637
4.6171491E-07,-0.010641
4.6176491E-07,-0.010643
4.6181491E-07,-0.010645
4.6186491E-07,-0.010645
4.6191491E-07,-0.010646
4.6196491E-07,-0.010646
4.6201491E-07,-0.010646
4.6206491E-07,-0.010646
4.6211491E-07,-0.010646
4.6216491E-07,-0.010646
4.6221491E-07,-0.010647
4.6226491E-07,-0.010648
4.6231491E-07,-0.010649
4.6236491E-07,-0.010651
4.6241491E-07,-0.010651
4.6246491E-07,-0.010652
4.6251491E-07,-0.010651
4.6256491E-07,-0.010650
4.6261491E-07,-0.010647
4.6266491E-07,-0.010643
4.6271491E-07,-0.010637
4.6276491E-07,-0.010629
4.6281491E-07,-0.010620
4.6286491E-07,-0.010608
4.6291491E-07,-0.010595
4.6296491E-07,-0.010581
4.6301491E-07,-0.010566
4.6306491E-07,-0.010550
4.6311491E-07,-0.010534
4.6316491E-07,-0.010518
4.6321491E-07,-0.010503
4.6326491E-07,-0.010490
4.6331491E-07,-0.010478
4.6336491E-07,-0.010469
4.6341491E-07,-0.010463
4.6346491E-07,-0.010460
4.6351491E-07,-0.010459
4.6356491E-07,-0.010461
4.6361491E-07,-0.010467
4.6366491E-07,-0.010475
4.6371491E-07,-0.010485
