LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:26:52,0                 
Time,Ampl
4.5690308E-07,-0.010559
4.5695308E-07,-0.010546
4.5700308E-07,-0.010533
4.5705308E-07,-0.010520
4.5710308E-07,-0.010508
4.5715308E-07,-0.010495
4.5720308E-07,-0.010484
4.5725308E-07,-0.010473
4.5730308E-07,-0.010464
4.5735308E-07,-0.010456
4.5740308E-07,-0.010449
4.5745308E-07,-0.010443
4.5750308E-07,-0.010437
4.5755308E-07,-0.010433
4.5760308E-07,-0.010430
4.5765308E-07,-0.010427
4.5770308E-07,-0.010424
4.5775308E-07,-0.010421
4.5780308E-07,-0.010419
4.5785308E-07,-0.010416
4.5790308E-07,-0.010413
4.5795308E-07,-0.010409
4.5800308E-07,-0.010406
4.5805308E-07,-0.010402
4.5810308E-07,-0.010398
4.5815308E-07,-0.010394
4.5820308E-07,-0.010390
4.5825308E-07,-0.010387
4.5830308E-07,-0.010384
4.5835308E-07,-0.010383
4.5840308E-07,-0.010382
4.5845308E-07,-0.010384
4.5850308E-07,-0.010386
4.5855308E-07,-0.010391
4.5860308E-07,-0.010397
4.5865308E-07,-0.010406
4.5870308E-07,-0.010416
4.5875308E-07,-0.010427
4.5880308E-07,-0.010441
4.5885308E-07,-0.010456
4.5890308E-07,-0.010472
4.5895308E-07,-0.010488
4.5900308E-07,-0.010506
4.5905308E-07,-0.010523
4.5910308E-07,-0.010541
4.5915308E-07,-0.010558
4.5920308E-07,-0.010575
4.5925308E-07,-0.010591
4.5930308E-07,-0.010606
4.5935308E-07,-0.010620
4.5940308E-07,-0.010634
4.5945308E-07,-0.010646
4.5950308E-07,-0.010656
4.5955308E-07,-0.010666
4.5960308E-07,-0.010676
4.5965308E-07,-0.010684
4.5970308E-07,-0.010692
4.5975308E-07,-0.010699
4.5980308E-07,-0.010706
4.5985308E-07,-0.010713
4.5990308E-07,-0.010719
4.5995308E-07,-0.010726
4.6000308E-07,-0.010733
4.6005308E-07,-0.010740
4.6010308E-07,-0.010747
4.6015308E-07,-0.010754
4.6020308E-07,-0.010761
4.6025308E-07,-0.010768
4.6030308E-07,-0.010774
4.6035308E-07,-0.010780
4.6040308E-07,-0.010786
4.6045308E-07,-0.010791
4.6050308E-07,-0.010795
4.6055308E-07,-0.010798
4.6060308E-07,-0.010800
4.6065308E-07,-0.010802
4.6070308E-07,-0.010802
4.6075308E-07,-0.010802
4.6080308E-07,-0.010801
4.6085308E-07,-0.010799
4.6090308E-07,-0.010796
4.6095308E-07,-0.010794
4.6100308E-07,-0.010791
4.6105308E-07,-0.010788
4.6110308E-07,-0.010785
4.6115308E-07,-0.010782
4.6120308E-07,-0.010780
4.6125308E-07,-0.010779
4.6130308E-07,-0.010777
4.6135308E-07,-0.010777
4.6140308E-07,-0.010776
4.6145308E-07,-0.010776
4.6150308E-07,-0.010776
4.6155308E-07,-0.010777
4.6160308E-07,-0.010776
4.6165308E-07,-0.010776
4.6170308E-07,-0.010775
4.6175308E-07,-0.010772
4.6180308E-07,-0.010769
4.6185308E-07,-0.010765
4.6190308E-07,-0.010759
4.6195308E-07,-0.010752
4.6200308E-07,-0.010743
4.6205308E-07,-0.010734
4.6210308E-07,-0.010723
