LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:40:04,0                 
Time,Ampl
4.5694808E-07,-0.000210
4.5699808E-07,-0.000205
4.5704808E-07,-0.000200
4.5709808E-07,-0.000195
4.5714808E-07,-0.000189
4.5719808E-07,-0.000183
4.5724808E-07,-0.000177
4.5729808E-07,-0.000169
4.5734808E-07,-0.000160
4.5739808E-07,-0.000150
4.5744808E-07,-0.000138
4.5749808E-07,-0.000126
4.5754808E-07,-0.000111
4.5759808E-07,-0.000096
4.5764808E-07,-0.000080
4.5769808E-07,-0.000063
4.5774808E-07,-0.000046
4.5779808E-07,-0.000029
4.5784808E-07,-0.000013
4.5789808E-07,0.000002
4.5794808E-07,0.000016
4.5799808E-07,0.000028
4.5804808E-07,0.000039
4.5809808E-07,0.000047
4.5814808E-07,0.000053
4.5819808E-07,0.000057
4.5824808E-07,0.000058
4.5829808E-07,0.000058
4.5834808E-07,0.000056
4.5839808E-07,0.000053
4.5844808E-07,0.000048
4.5849808E-07,0.000043
4.5854808E-07,0.000037
4.5859808E-07,0.000032
4.5864808E-07,0.000027
4.5869808E-07,0.000022
4.5874808E-07,0.000018
4.5879808E-07,0.000015
4.5884808E-07,0.000013
4.5889808E-07,0.000012
4.5894808E-07,0.000011
4.5899808E-07,0.000012
4.5904808E-07,0.000012
4.5909808E-07,0.000013
4.5914808E-07,0.000014
4.5919808E-07,0.000014
4.5924808E-07,0.000014
4.5929808E-07,0.000013
4.5934808E-07,0.000010
4.5939808E-07,0.000007
4.5944808E-07,0.000002
4.5949808E-07,-0.000005
4.5954808E-07,-0.000012
4.5959808E-07,-0.000021
4.5964808E-07,-0.000030
4.5969808E-07,-0.000040
4.5974808E-07,-0.000051
4.5979808E-07,-0.000061
4.5984808E-07,-0.000071
4.5989808E-07,-0.000081
4.5994808E-07,-0.000089
4.5999808E-07,-0.000096
4.6004808E-07,-0.000102
4.6009808E-07,-0.000106
4.6014808E-07,-0.000108
4.6019808E-07,-0.000108
4.6024808E-07,-0.000107
4.6029808E-07,-0.000103
4.6034808E-07,-0.000099
4.6039808E-07,-0.000092
4.6044808E-07,-0.000085
4.6049808E-07,-0.000077
4.6054808E-07,-0.000068
4.6059808E-07,-0.000060
4.6064808E-07,-0.000051
4.6069808E-07,-0.000043
4.6074808E-07,-0.000036
4.6079808E-07,-0.000029
4.6084808E-07,-0.000024
4.6089808E-07,-0.000021
4.6094808E-07,-0.000018
4.6099808E-07,-0.000017
4.6104808E-07,-0.000017
4.6109808E-07,-0.000018
4.6114808E-07,-0.000021
4.6119808E-07,-0.000024
4.6124808E-07,-0.000027
4.6129808E-07,-0.000030
4.6134808E-07,-0.000033
4.6139808E-07,-0.000036
4.6144808E-07,-0.000037
4.6149808E-07,-0.000038
4.6154808E-07,-0.000037
4.6159808E-07,-0.000034
4.6164808E-07,-0.000030
4.6169808E-07,-0.000023
4.6174808E-07,-0.000015
4.6179808E-07,-0.000005
4.6184808E-07,0.000007
4.6189808E-07,0.000021
4.6194808E-07,0.000035
4.6199808E-07,0.000051
4.6204808E-07,0.000067
4.6209808E-07,0.000084
4.6214808E-07,0.000101
4.6219808E-07,0.000117
4.6224808E-07,0.000132
4.6229808E-07,0.000146
4.6234808E-07,0.000159
4.6239808E-07,0.000171
4.6244808E-07,0.000181
4.6249808E-07,0.000189
4.6254808E-07,0.000195
4.6259808E-07,0.000200
4.6264808E-07,0.000203
4.6269808E-07,0.000205
4.6274808E-07,0.000205
4.6279808E-07,0.000205
4.6284808E-07,0.000203
4.6289808E-07,0.000201
4.6294808E-07,0.000199
4.6299808E-07,0.000196
4.6304808E-07,0.000193
4.6309808E-07,0.000190
4.6314808E-07,0.000188
4.6319808E-07,0.000185
4.6324808E-07,0.000182
4.6329808E-07,0.000179
4.6334808E-07,0.000176
4.6339808E-07,0.000172
4.6344808E-07,0.000169
4.6349808E-07,0.000165
4.6354808E-07,0.000160
4.6359808E-07,0.000155
4.6364808E-07,0.000150
4.6369808E-07,0.000144
4.6374808E-07,0.000138
4.6379808E-07,0.000131
4.6384808E-07,0.000125
4.6389808E-07,0.000118
4.6394808E-07,0.000111
4.6399808E-07,0.000105
4.6404808E-07,0.000100
4.6409808E-07,0.000094
4.6414808E-07,0.000090
4.6419808E-07,0.000086
4.6424808E-07,0.000083
4.6429808E-07,0.000081
4.6434808E-07,0.000079
4.6439808E-07,0.000078
4.6444808E-07,0.000077
4.6449808E-07,0.000075
4.6454808E-07,0.000074
4.6459808E-07,0.000072
4.6464808E-07,0.000070
4.6469808E-07,0.000067
4.6474808E-07,0.000062
4.6479808E-07,0.000057
4.6484808E-07,0.000050
4.6489808E-07,0.000042
4.6494808E-07,0.000033
4.6499808E-07,0.000023
4.6504808E-07,0.000012
4.6509808E-07,-0.000000
4.6514808E-07,-0.000011
4.6519808E-07,-0.000023
4.6524808E-07,-0.000035
4.6529808E-07,-0.000046
4.6534808E-07,-0.000057
4.6539808E-07,-0.000066
4.6544808E-07,-0.000074
4.6549808E-07,-0.000081
4.6554808E-07,-0.000087
4.6559808E-07,-0.000091
4.6564808E-07,-0.000095
4.6569808E-07,-0.000097
4.6574808E-07,-0.000099
4.6579808E-07,-0.000100
4.6584808E-07,-0.000100
4.6589808E-07,-0.000101
4.6594808E-07,-0.000102
4.6599808E-07,-0.000104
4.6604808E-07,-0.000106
4.6609808E-07,-0.000109
4.6614808E-07,-0.000113
4.6619808E-07,-0.000117
4.6624808E-07,-0.000123
4.6629808E-07,-0.000129
4.6634808E-07,-0.000136
4.6639808E-07,-0.000143
4.6644808E-07,-0.000149
4.6649808E-07,-0.000156
4.6654808E-07,-0.000161
4.6659808E-07,-0.000166
4.6664808E-07,-0.000170
4.6669808E-07,-0.000172
4.6674808E-07,-0.000172
4.6679808E-07,-0.000171
4.6684808E-07,-0.000167
4.6689808E-07,-0.000162
4.6694808E-07,-0.000156
