LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:40:20,0                 
Time,Ampl
4.5693842E-07,-0.010245
4.5698842E-07,-0.010251
4.5703842E-07,-0.010259
4.5708842E-07,-0.010268
4.5713842E-07,-0.010277
4.5718842E-07,-0.010287
4.5723842E-07,-0.010297
4.5728842E-07,-0.010306
4.5733842E-07,-0.010315
4.5738842E-07,-0.010323
4.5743842E-07,-0.010331
4.5748842E-07,-0.010337
4.5753842E-07,-0.010343
4.5758842E-07,-0.010347
4.5763842E-07,-0.010351
4.5768842E-07,-0.010354
4.5773842E-07,-0.010356
4.5778842E-07,-0.010358
4.5783842E-07,-0.010359
4.5788842E-07,-0.010359
4.5793842E-07,-0.010360
4.5798842E-07,-0.010359
4.5803842E-07,-0.010359
4.5808842E-07,-0.010358
4.5813842E-07,-0.010356
4.5818842E-07,-0.010354
4.5823842E-07,-0.010352
4.5828842E-07,-0.010348
4.5833842E-07,-0.010344
4.5838842E-07,-0.010340
4.5843842E-07,-0.010334
4.5848842E-07,-0.010328
4.5853842E-07,-0.010321
4.5858842E-07,-0.010314
4.5863842E-07,-0.010306
4.5868842E-07,-0.010299
4.5873842E-07,-0.010291
4.5878842E-07,-0.010284
4.5883842E-07,-0.010277
4.5888842E-07,-0.010271
4.5893842E-07,-0.010266
4.5898842E-07,-0.010262
4.5903842E-07,-0.010260
4.5908842E-07,-0.010259
4.5913842E-07,-0.010260
4.5918842E-07,-0.010262
4.5923842E-07,-0.010266
4.5928842E-07,-0.010271
4.5933842E-07,-0.010277
4.5938842E-07,-0.010285
4.5943842E-07,-0.010295
4.5948842E-07,-0.010305
4.5953842E-07,-0.010316
4.5958842E-07,-0.010329
4.5963842E-07,-0.010342
4.5968842E-07,-0.010355
4.5973842E-07,-0.010370
4.5978842E-07,-0.010384
4.5983842E-07,-0.010399
4.5988842E-07,-0.010414
4.5993842E-07,-0.010429
4.5998842E-07,-0.010445
4.6003842E-07,-0.010460
4.6008842E-07,-0.010474
4.6013842E-07,-0.010489
4.6018842E-07,-0.010503
4.6023842E-07,-0.010516
4.6028842E-07,-0.010528
4.6033842E-07,-0.010539
4.6038842E-07,-0.010548
4.6043842E-07,-0.010556
4.6048842E-07,-0.010563
4.6053842E-07,-0.010568
4.6058842E-07,-0.010571
4.6063842E-07,-0.010573
4.6068842E-07,-0.010573
4.6073842E-07,-0.010572
4.6078842E-07,-0.010569
4.6083842E-07,-0.010565
4.6088842E-07,-0.010559
4.6093842E-07,-0.010553
4.6098842E-07,-0.010546
4.6103842E-07,-0.010539
4.6108842E-07,-0.010531
4.6113842E-07,-0.010524
4.6118842E-07,-0.010516
4.6123842E-07,-0.010508
4.6128842E-07,-0.010500
4.6133842E-07,-0.010492
4.6138842E-07,-0.010485
4.6143842E-07,-0.010477
4.6148842E-07,-0.010469
4.6153842E-07,-0.010462
4.6158842E-07,-0.010454
4.6163842E-07,-0.010446
4.6168842E-07,-0.010437
4.6173842E-07,-0.010429
4.6178842E-07,-0.010421
4.6183842E-07,-0.010412
4.6188842E-07,-0.010404
4.6193842E-07,-0.010397
4.6198842E-07,-0.010389
4.6203842E-07,-0.010383
4.6208842E-07,-0.010377
4.6213842E-07,-0.010373
4.6218842E-07,-0.010369
4.6223842E-07,-0.010367
4.6228842E-07,-0.010366
4.6233842E-07,-0.010367
4.6238842E-07,-0.010368
4.6243842E-07,-0.010371
4.6248842E-07,-0.010374
4.6253842E-07,-0.010377
4.6258842E-07,-0.010381
4.6263842E-07,-0.010385
4.6268842E-07,-0.010389
4.6273842E-07,-0.010391
4.6278842E-07,-0.010393
4.6283842E-07,-0.010394
4.6288842E-07,-0.010394
4.6293842E-07,-0.010393
4.6298842E-07,-0.010391
4.6303842E-07,-0.010389
4.6308842E-07,-0.010386
4.6313842E-07,-0.010383
4.6318842E-07,-0.010379
4.6323842E-07,-0.010377
4.6328842E-07,-0.010375
