LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:29:54,0                 
Time,Ampl
4.5690722E-07,-0.020991
4.5695722E-07,-0.020682
4.5700722E-07,-0.020372
4.5705722E-07,-0.019959
4.5710722E-07,-0.019442
4.5715722E-07,-0.018823
4.5720722E-07,-0.018203
4.5725722E-07,-0.017480
4.5730722E-07,-0.016654
4.5735722E-07,-0.015931
4.5740722E-07,-0.015105
4.5745722E-07,-0.014278
4.5750722E-07,-0.013556
4.5755722E-07,-0.012833
4.5760722E-07,-0.012110
4.5765722E-07,-0.011490
4.5770722E-07,-0.010974
4.5775722E-07,-0.010457
4.5780722E-07,-0.009941
4.5785722E-07,-0.009528
4.5790722E-07,-0.009218
4.5795722E-07,-0.008805
4.5800722E-07,-0.008495
4.5805722E-07,-0.008082
4.5810722E-07,-0.007669
4.5815722E-07,-0.007256
4.5820722E-07,-0.006739
4.5825722E-07,-0.006223
4.5830722E-07,-0.005603
4.5835722E-07,-0.004880
4.5840722E-07,-0.004157
4.5845722E-07,-0.003434
4.5850722E-07,-0.002608
4.5855722E-07,-0.001782
4.5860722E-07,-0.000956
4.5865722E-07,-0.000130
4.5870722E-07,0.000593
4.5875722E-07,0.001316
4.5880722E-07,0.001833
4.5885722E-07,0.002349
4.5890722E-07,0.002762
4.5895722E-07,0.002969
4.5900722E-07,0.003072
4.5905722E-07,0.003072
4.5910722E-07,0.002969
4.5915722E-07,0.002762
4.5920722E-07,0.002452
4.5925722E-07,0.002039
4.5930722E-07,0.001626
4.5935722E-07,0.001006
4.5940722E-07,0.000490
4.5945722E-07,-0.000130
4.5950722E-07,-0.000749
4.5955722E-07,-0.001369
4.5960722E-07,-0.001989
4.5965722E-07,-0.002608
4.5970722E-07,-0.003228
4.5975722E-07,-0.003848
4.5980722E-07,-0.004571
4.5985722E-07,-0.005190
4.5990722E-07,-0.005913
4.5995722E-07,-0.006636
4.6000722E-07,-0.007359
4.6005722E-07,-0.008082
4.6010722E-07,-0.008908
4.6015722E-07,-0.009631
4.6020722E-07,-0.010457
4.6025722E-07,-0.011283
4.6030722E-07,-0.012006
4.6035722E-07,-0.012626
4.6040722E-07,-0.013246
4.6045722E-07,-0.013865
4.6050722E-07,-0.014278
4.6055722E-07,-0.014588
4.6060722E-07,-0.014692
4.6065722E-07,-0.014795
4.6070722E-07,-0.014692
4.6075722E-07,-0.014382
4.6080722E-07,-0.013969
4.6085722E-07,-0.013349
4.6090722E-07,-0.012626
4.6095722E-07,-0.011800
4.6100722E-07,-0.010767
4.6105722E-07,-0.009734
4.6110722E-07,-0.008495
4.6115722E-07,-0.007359
4.6120722E-07,-0.006016
4.6125722E-07,-0.004777
4.6130722E-07,-0.003434
4.6135722E-07,-0.002092
4.6140722E-07,-0.000749
4.6145722E-07,0.000593
4.6150722E-07,0.001936
4.6155722E-07,0.003279
4.6160722E-07,0.004518
4.6165722E-07,0.005860
4.6170722E-07,0.007100
4.6175722E-07,0.008339
4.6180722E-07,0.009578
4.6185722E-07,0.010818
4.6190722E-07,0.011954
4.6195722E-07,0.013193
4.6200722E-07,0.014329
4.6205722E-07,0.015465
4.6210722E-07,0.016498
4.6215722E-07,0.017531
4.6220722E-07,0.018563
4.6225722E-07,0.019390
4.6230722E-07,0.020319
4.6235722E-07,0.021042
4.6240722E-07,0.021765
4.6245722E-07,0.022385
4.6250722E-07,0.022901
4.6255722E-07,0.023314
4.6260722E-07,0.023727
4.6265722E-07,0.023934
4.6270722E-07,0.024140
4.6275722E-07,0.024244
4.6280722E-07,0.024347
4.6285722E-07,0.024347
4.6290722E-07,0.024244
4.6295722E-07,0.024037
4.6300722E-07,0.023934
4.6305722E-07,0.023624
4.6310722E-07,0.023417
4.6315722E-07,0.023108
4.6320722E-07,0.022798
4.6325722E-07,0.022385
4.6330722E-07,0.022075
4.6335722E-07,0.021662
4.6340722E-07,0.021249
4.6345722E-07,0.020732
4.6350722E-07,0.020319
4.6355722E-07,0.019803
4.6360722E-07,0.019286
4.6365722E-07,0.018770
4.6370722E-07,0.018150
4.6375722E-07,0.017634
4.6380722E-07,0.017014
4.6385722E-07,0.016291
4.6390722E-07,0.015672
4.6395722E-07,0.014949
4.6400722E-07,0.014226
4.6405722E-07,0.013503
4.6410722E-07,0.012780
4.6415722E-07,0.011954
4.6420722E-07,0.011128
4.6425722E-07,0.010301
4.6430722E-07,0.009475
4.6435722E-07,0.008649
4.6440722E-07,0.007823
4.6445722E-07,0.006893
4.6450722E-07,0.006067
4.6455722E-07,0.005344
4.6460722E-07,0.004518
4.6465722E-07,0.003795
4.6470722E-07,0.003175
4.6475722E-07,0.002556
4.6480722E-07,0.001936
4.6485722E-07,0.001523
4.6490722E-07,0.001006
4.6495722E-07,0.000697
4.6500722E-07,0.000283
4.6505722E-07,0.000077
4.6510722E-07,-0.000233
4.6515722E-07,-0.000439
4.6520722E-07,-0.000749
4.6525722E-07,-0.000956
4.6530722E-07,-0.001266
4.6535722E-07,-0.001575
4.6540722E-07,-0.001989
4.6545722E-07,-0.002505
4.6550722E-07,-0.003021
4.6555722E-07,-0.003641
4.6560722E-07,-0.004364
4.6565722E-07,-0.005190
4.6570722E-07,-0.006120
4.6575722E-07,-0.007049
4.6580722E-07,-0.007979
4.6585722E-07,-0.009011
4.6590722E-07,-0.009941
4.6595722E-07,-0.010870
4.6600722E-07,-0.011800
4.6605722E-07,-0.012729
4.6610722E-07,-0.013452
4.6615722E-07,-0.014175
4.6620722E-07,-0.014692
4.6625722E-07,-0.015208
4.6630722E-07,-0.015518
4.6635722E-07,-0.015724
4.6640722E-07,-0.015931
4.6645722E-07,-0.015931
4.6650722E-07,-0.015931
4.6655722E-07,-0.015828
4.6660722E-07,-0.015621
4.6665722E-07,-0.015415
4.6670722E-07,-0.015208
4.6675722E-07,-0.015001
4.6680722E-07,-0.014795
4.6685722E-07,-0.014588
4.6690722E-07,-0.014382
4.6695722E-07,-0.014072
4.6700722E-07,-0.013865
4.6705722E-07,-0.013659
4.6710722E-07,-0.013349
4.6715722E-07,-0.012936
4.6720722E-07,-0.012523
4.6725722E-07,-0.012006
4.6730722E-07,-0.011490
4.6735722E-07,-0.010767
4.6740722E-07,-0.009941
4.6745722E-07,-0.009115
4.6750722E-07,-0.008082
4.6755722E-07,-0.007049
4.6760722E-07,-0.005913
4.6765722E-07,-0.004674
4.6770722E-07,-0.003434
4.6775722E-07,-0.002195
4.6780722E-07,-0.000956
4.6785722E-07,0.000180
4.6790722E-07,0.001316
4.6795722E-07,0.002349
4.6800722E-07,0.003279
4.6805722E-07,0.004105
4.6810722E-07,0.004828
4.6815722E-07,0.005447
4.6820722E-07,0.005964
4.6825722E-07,0.006274
4.6830722E-07,0.006583
4.6835722E-07,0.006790
4.6840722E-07,0.006893
4.6845722E-07,0.006893
4.6850722E-07,0.006996
4.6855722E-07,0.006996
4.6860722E-07,0.006996
4.6865722E-07,0.006996
4.6870722E-07,0.007100
4.6875722E-07,0.007100
4.6880722E-07,0.007203
4.6885722E-07,0.007410
4.6890722E-07,0.007513
4.6895722E-07,0.007616
4.6900722E-07,0.007719
4.6905722E-07,0.007823
4.6910722E-07,0.007926
4.6915722E-07,0.007926
4.6920722E-07,0.007823
4.6925722E-07,0.007616
4.6930722E-07,0.007306
4.6935722E-07,0.006893
4.6940722E-07,0.006377
4.6945722E-07,0.005757
4.6950722E-07,0.005034
4.6955722E-07,0.004208
4.6960722E-07,0.003279
4.6965722E-07,0.002246
4.6970722E-07,0.001110
4.6975722E-07,0.000077
4.6980722E-07,-0.001059
4.6985722E-07,-0.002195
4.6990722E-07,-0.003331
4.6995722E-07,-0.004364
4.7000722E-07,-0.005397
4.7005722E-07,-0.006326
4.7010722E-07,-0.007152
4.7015722E-07,-0.007875
4.7020722E-07,-0.008495
4.7025722E-07,-0.009011
4.7030722E-07,-0.009424
4.7035722E-07,-0.009631
4.7040722E-07,-0.009734
4.7045722E-07,-0.009838
4.7050722E-07,-0.009734
4.7055722E-07,-0.009528
4.7060722E-07,-0.009218
4.7065722E-07,-0.008908
4.7070722E-07,-0.008392
4.7075722E-07,-0.007875
4.7080722E-07,-0.007359
4.7085722E-07,-0.006739
4.7090722E-07,-0.006016
4.7095722E-07,-0.005397
4.7100722E-07,-0.004571
4.7105722E-07,-0.003848
4.7110722E-07,-0.003021
4.7115722E-07,-0.002195
4.7120722E-07,-0.001369
4.7125722E-07,-0.000439
