LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:41:15,0                 
Time,Ampl
4.5694887E-07,-0.010249
4.5699887E-07,-0.010255
4.5704887E-07,-0.010262
4.5709887E-07,-0.010269
4.5714887E-07,-0.010278
4.5719887E-07,-0.010287
4.5724887E-07,-0.010296
4.5729887E-07,-0.010305
4.5734887E-07,-0.010315
4.5739887E-07,-0.010324
4.5744887E-07,-0.010333
4.5749887E-07,-0.010340
4.5754887E-07,-0.010348
4.5759887E-07,-0.010353
4.5764887E-07,-0.010358
4.5769887E-07,-0.010361
4.5774887E-07,-0.010362
4.5779887E-07,-0.010362
4.5784887E-07,-0.010360
4.5789887E-07,-0.010356
4.5794887E-07,-0.010351
4.5799887E-07,-0.010344
4.5804887E-07,-0.010336
4.5809887E-07,-0.010326
4.5814887E-07,-0.010316
4.5819887E-07,-0.010304
4.5824887E-07,-0.010293
4.5829887E-07,-0.010280
4.5834887E-07,-0.010268
4.5839887E-07,-0.010255
4.5844887E-07,-0.010243
4.5849887E-07,-0.010230
4.5854887E-07,-0.010218
4.5859887E-07,-0.010206
4.5864887E-07,-0.010194
4.5869887E-07,-0.010183
4.5874887E-07,-0.010172
4.5879887E-07,-0.010162
4.5884887E-07,-0.010152
4.5889887E-07,-0.010142
4.5894887E-07,-0.010132
4.5899887E-07,-0.010123
4.5904887E-07,-0.010114
4.5909887E-07,-0.010106
4.5914887E-07,-0.010098
4.5919887E-07,-0.010090
4.5924887E-07,-0.010084
4.5929887E-07,-0.010078
4.5934887E-07,-0.010073
4.5939887E-07,-0.010069
4.5944887E-07,-0.010066
4.5949887E-07,-0.010065
4.5954887E-07,-0.010065
4.5959887E-07,-0.010067
4.5964887E-07,-0.010070
4.5969887E-07,-0.010074
4.5974887E-07,-0.010080
4.5979887E-07,-0.010087
4.5984887E-07,-0.010095
4.5989887E-07,-0.010104
4.5994887E-07,-0.010114
4.5999887E-07,-0.010125
4.6004887E-07,-0.010136
4.6009887E-07,-0.010147
4.6014887E-07,-0.010157
4.6019887E-07,-0.010168
4.6024887E-07,-0.010178
4.6029887E-07,-0.010188
4.6034887E-07,-0.010197
4.6039887E-07,-0.010205
4.6044887E-07,-0.010212
4.6049887E-07,-0.010219
4.6054887E-07,-0.010225
4.6059887E-07,-0.010231
4.6064887E-07,-0.010236
4.6069887E-07,-0.010241
4.6074887E-07,-0.010246
4.6079887E-07,-0.010252
4.6084887E-07,-0.010257
4.6089887E-07,-0.010264
4.6094887E-07,-0.010270
4.6099887E-07,-0.010278
4.6104887E-07,-0.010286
4.6109887E-07,-0.010295
4.6114887E-07,-0.010305
4.6119887E-07,-0.010315
4.6124887E-07,-0.010326
4.6129887E-07,-0.010338
4.6134887E-07,-0.010349
4.6139887E-07,-0.010361
4.6144887E-07,-0.010373
4.6149887E-07,-0.010384
4.6154887E-07,-0.010395
4.6159887E-07,-0.010405
4.6164887E-07,-0.010414
4.6169887E-07,-0.010423
4.6174887E-07,-0.010430
4.6179887E-07,-0.010436
4.6184887E-07,-0.010441
4.6189887E-07,-0.010445
4.6194887E-07,-0.010448
4.6199887E-07,-0.010449
4.6204887E-07,-0.010450
4.6209887E-07,-0.010450
4.6214887E-07,-0.010448
4.6219887E-07,-0.010446
4.6224887E-07,-0.010444
4.6229887E-07,-0.010441
4.6234887E-07,-0.010437
4.6239887E-07,-0.010433
4.6244887E-07,-0.010429
4.6249887E-07,-0.010424
4.6254887E-07,-0.010419
4.6259887E-07,-0.010413
4.6264887E-07,-0.010407
4.6269887E-07,-0.010401
4.6274887E-07,-0.010394
4.6279887E-07,-0.010387
4.6284887E-07,-0.010379
4.6289887E-07,-0.010370
4.6294887E-07,-0.010361
4.6299887E-07,-0.010352
4.6304887E-07,-0.010343
4.6309887E-07,-0.010333
4.6314887E-07,-0.010323
4.6319887E-07,-0.010314
4.6324887E-07,-0.010305
4.6329887E-07,-0.010296
4.6334887E-07,-0.010289
4.6339887E-07,-0.010282
4.6344887E-07,-0.010277
4.6349887E-07,-0.010273
4.6354887E-07,-0.010270
4.6359887E-07,-0.010270
4.6364887E-07,-0.010271
4.6369887E-07,-0.010273
4.6374887E-07,-0.010278
4.6379887E-07,-0.010284
4.6384887E-07,-0.010291
4.6389887E-07,-0.010299
4.6394887E-07,-0.010309
4.6399887E-07,-0.010319
4.6404887E-07,-0.010329
4.6409887E-07,-0.010339
4.6414887E-07,-0.010349
4.6419887E-07,-0.010359
4.6424887E-07,-0.010367
4.6429887E-07,-0.010374
4.6434887E-07,-0.010380
4.6439887E-07,-0.010384
4.6444887E-07,-0.010387
4.6449887E-07,-0.010387
4.6454887E-07,-0.010386
4.6459887E-07,-0.010383
4.6464887E-07,-0.010379
4.6469887E-07,-0.010373
4.6474887E-07,-0.010365
4.6479887E-07,-0.010357
4.6484887E-07,-0.010348
4.6489887E-07,-0.010338
4.6494887E-07,-0.010328
4.6499887E-07,-0.010318
4.6504887E-07,-0.010309
4.6509887E-07,-0.010299
4.6514887E-07,-0.010291
4.6519887E-07,-0.010283
4.6524887E-07,-0.010275
4.6529887E-07,-0.010269
4.6534887E-07,-0.010263
4.6539887E-07,-0.010258
4.6544887E-07,-0.010253
4.6549887E-07,-0.010249
4.6554887E-07,-0.010246
4.6559887E-07,-0.010244
4.6564887E-07,-0.010241
4.6569887E-07,-0.010239
4.6574887E-07,-0.010238
4.6579887E-07,-0.010236
4.6584887E-07,-0.010235
4.6589887E-07,-0.010235
4.6594887E-07,-0.010235
4.6599887E-07,-0.010236
4.6604887E-07,-0.010237
4.6609887E-07,-0.010239
4.6614887E-07,-0.010242
4.6619887E-07,-0.010246
4.6624887E-07,-0.010251
4.6629887E-07,-0.010258
4.6634887E-07,-0.010265
