LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:23:12,0                 
Time,Ampl
4.5691810E-07,-0.010565
4.5696810E-07,-0.010565
4.5701810E-07,-0.010566
4.5706810E-07,-0.010567
4.5711810E-07,-0.010569
4.5716810E-07,-0.010571
4.5721810E-07,-0.010573
4.5726810E-07,-0.010575
4.5731810E-07,-0.010578
4.5736810E-07,-0.010581
4.5741810E-07,-0.010583
4.5746810E-07,-0.010586
4.5751810E-07,-0.010587
4.5756810E-07,-0.010589
4.5761810E-07,-0.010590
4.5766810E-07,-0.010589
4.5771810E-07,-0.010589
4.5776810E-07,-0.010587
4.5781810E-07,-0.010584
4.5786810E-07,-0.010581
4.5791810E-07,-0.010576
4.5796810E-07,-0.010571
4.5801810E-07,-0.010566
4.5806810E-07,-0.010560
4.5811810E-07,-0.010554
4.5816810E-07,-0.010548
4.5821810E-07,-0.010542
4.5826810E-07,-0.010537
4.5831810E-07,-0.010532
4.5836810E-07,-0.010529
4.5841810E-07,-0.010526
4.5846810E-07,-0.010526
4.5851810E-07,-0.010526
4.5856810E-07,-0.010529
4.5861810E-07,-0.010532
4.5866810E-07,-0.010538
4.5871810E-07,-0.010545
4.5876810E-07,-0.010553
4.5881810E-07,-0.010563
4.5886810E-07,-0.010574
4.5891810E-07,-0.010585
4.5896810E-07,-0.010596
4.5901810E-07,-0.010607
4.5906810E-07,-0.010618
4.5911810E-07,-0.010629
4.5916810E-07,-0.010638
4.5921810E-07,-0.010646
4.5926810E-07,-0.010652
4.5931810E-07,-0.010657
4.5936810E-07,-0.010660
4.5941810E-07,-0.010662
4.5946810E-07,-0.010661
4.5951810E-07,-0.010659
4.5956810E-07,-0.010656
4.5961810E-07,-0.010651
4.5966810E-07,-0.010646
4.5971810E-07,-0.010639
4.5976810E-07,-0.010633
4.5981810E-07,-0.010626
4.5986810E-07,-0.010619
4.5991810E-07,-0.010613
4.5996810E-07,-0.010607
4.6001810E-07,-0.010601
4.6006810E-07,-0.010597
4.6011810E-07,-0.010593
4.6016810E-07,-0.010590
4.6021810E-07,-0.010588
4.6026810E-07,-0.010587
4.6031810E-07,-0.010586
4.6036810E-07,-0.010585
4.6041810E-07,-0.010585
4.6046810E-07,-0.010584
4.6051810E-07,-0.010584
4.6056810E-07,-0.010583
4.6061810E-07,-0.010583
4.6066810E-07,-0.010582
4.6071810E-07,-0.010580
4.6076810E-07,-0.010579
4.6081810E-07,-0.010577
4.6086810E-07,-0.010575
4.6091810E-07,-0.010572
4.6096810E-07,-0.010570
4.6101810E-07,-0.010568
4.6106810E-07,-0.010566
4.6111810E-07,-0.010564
4.6116810E-07,-0.010562
4.6121810E-07,-0.010561
4.6126810E-07,-0.010559
4.6131810E-07,-0.010558
4.6136810E-07,-0.010556
4.6141810E-07,-0.010554
4.6146810E-07,-0.010552
4.6151810E-07,-0.010549
4.6156810E-07,-0.010545
4.6161810E-07,-0.010541
4.6166810E-07,-0.010535
4.6171810E-07,-0.010529
4.6176810E-07,-0.010521
4.6181810E-07,-0.010512
4.6186810E-07,-0.010502
4.6191810E-07,-0.010491
4.6196810E-07,-0.010479
4.6201810E-07,-0.010467
4.6206810E-07,-0.010455
4.6211810E-07,-0.010442
4.6216810E-07,-0.010430
4.6221810E-07,-0.010419
4.6226810E-07,-0.010409
4.6231810E-07,-0.010400
4.6236810E-07,-0.010393
4.6241810E-07,-0.010387
4.6246810E-07,-0.010384
4.6251810E-07,-0.010382
4.6256810E-07,-0.010382
4.6261810E-07,-0.010385
4.6266810E-07,-0.010389
4.6271810E-07,-0.010395
4.6276810E-07,-0.010402
4.6281810E-07,-0.010410
4.6286810E-07,-0.010420
4.6291810E-07,-0.010430
4.6296810E-07,-0.010440
4.6301810E-07,-0.010450
4.6306810E-07,-0.010459
4.6311810E-07,-0.010469
4.6316810E-07,-0.010478
4.6321810E-07,-0.010485
4.6326810E-07,-0.010492
4.6331810E-07,-0.010499
4.6336810E-07,-0.010504
4.6341810E-07,-0.010508
4.6346810E-07,-0.010512
4.6351810E-07,-0.010515
4.6356810E-07,-0.010517
4.6361810E-07,-0.010519
4.6366810E-07,-0.010520
4.6371810E-07,-0.010521
4.6376810E-07,-0.010522
4.6381810E-07,-0.010522
4.6386810E-07,-0.010523
4.6391810E-07,-0.010523
4.6396810E-07,-0.010524
4.6401810E-07,-0.010524
4.6406810E-07,-0.010524
4.6411810E-07,-0.010523
4.6416810E-07,-0.010522
4.6421810E-07,-0.010521
4.6426810E-07,-0.010520
4.6431810E-07,-0.010517
4.6436810E-07,-0.010515
4.6441810E-07,-0.010511
4.6446810E-07,-0.010507
4.6451810E-07,-0.010503
4.6456810E-07,-0.010498
4.6461810E-07,-0.010492
4.6466810E-07,-0.010486
4.6471810E-07,-0.010479
4.6476810E-07,-0.010472
4.6481810E-07,-0.010465
4.6486810E-07,-0.010458
4.6491810E-07,-0.010451
4.6496810E-07,-0.010444
4.6501810E-07,-0.010437
4.6506810E-07,-0.010431
4.6511810E-07,-0.010425
4.6516810E-07,-0.010419
4.6521810E-07,-0.010414
4.6526810E-07,-0.010409
4.6531810E-07,-0.010405
4.6536810E-07,-0.010402
4.6541810E-07,-0.010399
4.6546810E-07,-0.010397
4.6551810E-07,-0.010395
4.6556810E-07,-0.010393
4.6561810E-07,-0.010392
4.6566810E-07,-0.010390
4.6571810E-07,-0.010389
4.6576810E-07,-0.010388
4.6581810E-07,-0.010386
4.6586810E-07,-0.010383
4.6591810E-07,-0.010381
4.6596810E-07,-0.010377
4.6601810E-07,-0.010373
4.6606810E-07,-0.010368
4.6611810E-07,-0.010362
4.6616810E-07,-0.010356
4.6621810E-07,-0.010349
4.6626810E-07,-0.010341
4.6631810E-07,-0.010333
4.6636810E-07,-0.010326
4.6641810E-07,-0.010318
4.6646810E-07,-0.010311
4.6651810E-07,-0.010305
4.6656810E-07,-0.010300
4.6661810E-07,-0.010296
4.6666810E-07,-0.010294
4.6671810E-07,-0.010293
4.6676810E-07,-0.010294
4.6681810E-07,-0.010297
4.6686810E-07,-0.010302
4.6691810E-07,-0.010309
4.6696810E-07,-0.010318
4.6701810E-07,-0.010329
4.6706810E-07,-0.010341
4.6711810E-07,-0.010355
4.6716810E-07,-0.010370
4.6721810E-07,-0.010385
4.6726810E-07,-0.010401
4.6731810E-07,-0.010417
4.6736810E-07,-0.010434
4.6741810E-07,-0.010450
4.6746810E-07,-0.010466
4.6751810E-07,-0.010481
4.6756810E-07,-0.010496
4.6761810E-07,-0.010510
4.6766810E-07,-0.010523
4.6771810E-07,-0.010536
4.6776810E-07,-0.010548
4.6781810E-07,-0.010560
4.6786810E-07,-0.010571
4.6791810E-07,-0.010581
4.6796810E-07,-0.010591
4.6801810E-07,-0.010601
4.6806810E-07,-0.010611
4.6811810E-07,-0.010619
4.6816810E-07,-0.010628
4.6821810E-07,-0.010636
4.6826810E-07,-0.010643
4.6831810E-07,-0.010649
4.6836810E-07,-0.010655
4.6841810E-07,-0.010659
4.6846810E-07,-0.010662
