LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:43:56,0                 
Time,Ampl
-4.0000000E-08,-0.006478
-3.9950000E-08,-0.006142
-3.9900000E-08,-0.006024
-3.9850000E-08,-0.005876
-3.9800000E-08,-0.005467
-3.9750000E-08,-0.005099
-3.9700000E-08,-0.004662
-3.9650000E-08,-0.003936
-3.9600000E-08,-0.003747
-3.9550000E-08,-0.003375
-3.9500000E-08,-0.002999
-3.9450000E-08,-0.002496
-3.9400000E-08,-0.002097
-3.9350000E-08,-0.001667
-3.9300000E-08,-0.001458
-3.9250000E-08,-0.000910
-3.9200000E-08,-0.000802
-3.9150000E-08,-0.000713
-3.9100000E-08,-0.000487
-3.9050000E-08,-0.000232
-3.9000000E-08,-0.000073
-3.8950000E-08,0.000029
-3.8900000E-08,-0.000271
-3.8850000E-08,-0.000419
-3.8800000E-08,-0.000668
-3.8750000E-08,-0.000859
-3.8700000E-08,-0.000933
-3.8650000E-08,-0.000933
-3.8600000E-08,-0.001187
-3.8550000E-08,-0.001286
-3.8500000E-08,-0.001477
-3.8450000E-08,-0.001661
-3.8400000E-08,-0.001782
-3.8350000E-08,-0.001873
-3.8300000E-08,-0.002051
-3.8250000E-08,-0.002247
-3.8200000E-08,-0.002471
-3.8150000E-08,-0.002590
-3.8100000E-08,-0.002737
-3.8050000E-08,-0.002835
-3.8000000E-08,-0.002976
-3.7950000E-08,-0.003119
-3.7900000E-08,-0.003252
-3.7850000E-08,-0.003377
-3.7800000E-08,-0.003498
-3.7750000E-08,-0.003615
-3.7700000E-08,-0.003725
-3.7650000E-08,-0.003847
-3.7600000E-08,-0.003962
-3.7550000E-08,-0.004060
-3.7500000E-08,-0.004149
-3.7450000E-08,-0.004230
-3.7400000E-08,-0.004301
-3.7350000E-08,-0.004361
-3.7300000E-08,-0.004410
-3.7250000E-08,-0.004446
-3.7200000E-08,-0.004461
-3.7150000E-08,-0.004471
-3.7100000E-08,-0.004466
-3.7050000E-08,-0.004449
-3.7000000E-08,-0.004418
-3.6950000E-08,-0.004374
-3.6900000E-08,-0.004363
-3.6850000E-08,-0.004300
-3.6800000E-08,-0.004226
-3.6750000E-08,-0.004143
-3.6700000E-08,-0.004053
-3.6650000E-08,-0.003938
-3.6600000E-08,-0.003835
-3.6550000E-08,-0.003730
-3.6500000E-08,-0.003622
-3.6450000E-08,-0.003486
-3.6400000E-08,-0.003373
-3.6350000E-08,-0.003258
-3.6300000E-08,-0.003144
-3.6250000E-08,-0.003029
-3.6200000E-08,-0.002914
-3.6150000E-08,-0.002797
-3.6100000E-08,-0.002680
-3.6050000E-08,-0.002562
-3.6000000E-08,-0.002443
-3.5950000E-08,-0.002321
-3.5900000E-08,-0.002197
-3.5850000E-08,-0.002072
-3.5800000E-08,-0.001943
-3.5750000E-08,-0.001812
-3.5700000E-08,-0.001681
-3.5650000E-08,-0.001549
-3.5600000E-08,-0.001415
-3.5550000E-08,-0.001282
-3.5500000E-08,-0.001148
-3.5450000E-08,-0.001018
-3.5400000E-08,-0.000891
-3.5350000E-08,-0.000767
-3.5300000E-08,-0.000649
-3.5250000E-08,-0.000535
-3.5200000E-08,-0.000428
-3.5150000E-08,-0.000328
-3.5100000E-08,-0.000234
-3.5050000E-08,-0.000147
-3.5000000E-08,-0.000067
-3.4950000E-08,0.000007
-3.4900000E-08,0.000076
-3.4850000E-08,0.000139
-3.4800000E-08,0.000200
-3.4750000E-08,0.000257
-3.4700000E-08,0.000313
-3.4650000E-08,0.000367
-3.4600000E-08,0.000423
-3.4550000E-08,0.000480
-3.4500000E-08,0.000539
-3.4450000E-08,0.000654
-3.4400000E-08,0.000722
-3.4350000E-08,0.000792
-3.4300000E-08,0.000865
-3.4250000E-08,0.000941
-3.4200000E-08,0.001019
-3.4150000E-08,0.001098
-3.4100000E-08,0.001176
-3.4050000E-08,0.001255
-3.4000000E-08,0.001331
-3.3950000E-08,0.001405
-3.3900000E-08,0.001474
-3.3850000E-08,0.001538
-3.3800000E-08,0.001597
-3.3750000E-08,0.001649
-3.3700000E-08,0.001695
-3.3650000E-08,0.001733
-3.3600000E-08,0.001766
-3.3550000E-08,0.001792
-3.3500000E-08,0.001813
-3.3450000E-08,0.001828
-3.3400000E-08,0.001839
-3.3350000E-08,0.001848
-3.3300000E-08,0.001854
-3.3250000E-08,0.001859
-3.3200000E-08,0.001863
-3.3150000E-08,0.001866
-3.3100000E-08,0.001871
-3.3050000E-08,0.001876
-3.3000000E-08,0.001882
-3.2950000E-08,0.001888
-3.2900000E-08,0.001895
-3.2850000E-08,0.001902
-3.2800000E-08,0.001910
-3.2750000E-08,0.001914
-3.2700000E-08,0.001916
-3.2650000E-08,0.001918
-3.2600000E-08,0.001913
-3.2550000E-08,0.001904
-3.2500000E-08,0.001892
-3.2450000E-08,0.001874
-3.2400000E-08,0.001850
-3.2350000E-08,0.001822
-3.2300000E-08,0.001790
-3.2250000E-08,0.001755
-3.2200000E-08,0.001715
-3.2150000E-08,0.001677
-3.2100000E-08,0.001636
-3.2050000E-08,0.001596
-3.2000000E-08,0.001558
-3.1950000E-08,0.001521
-3.1900000E-08,0.001489
-3.1850000E-08,0.001461
-3.1800000E-08,0.001438
-3.1750000E-08,0.001420
-3.1700000E-08,0.001407
-3.1650000E-08,0.001400
-3.1600000E-08,0.001395
-3.1550000E-08,0.001397
-3.1500000E-08,0.001399
-3.1450000E-08,0.001404
-3.1400000E-08,0.001407
-3.1350000E-08,0.001412
-3.1300000E-08,0.001413
-3.1250000E-08,0.001413
-3.1200000E-08,0.001409
-3.1150000E-08,0.001400
-3.1100000E-08,0.001386
-3.1050000E-08,0.001369
-3.1000000E-08,0.001348
-3.0950000E-08,0.001323
-3.0900000E-08,0.001296
-3.0850000E-08,0.001266
-3.0800000E-08,0.001239
-3.0750000E-08,0.001210
-3.0700000E-08,0.001185
-3.0650000E-08,0.001164
-3.0600000E-08,0.001148
-3.0550000E-08,0.001138
-3.0500000E-08,0.001135
-3.0450000E-08,0.001140
-3.0400000E-08,0.001155
-3.0350000E-08,0.001175
-3.0300000E-08,0.001205
-3.0250000E-08,0.001242
-3.0200000E-08,0.001286
-3.0150000E-08,0.001335
-3.0100000E-08,0.001389
-3.0050000E-08,0.001446
-3.0000000E-08,0.001506
-2.9950000E-08,0.001568
-2.9900000E-08,0.001628
-2.9850000E-08,0.001689
-2.9800000E-08,0.001747
-2.9750000E-08,0.001806
-2.9700000E-08,0.001859
-2.9650000E-08,0.001913
-2.9600000E-08,0.001963
-2.9550000E-08,0.002013
-2.9500000E-08,0.002060
-2.9450000E-08,0.002109
-2.9400000E-08,0.002156
-2.9350000E-08,0.002206
-2.9300000E-08,0.002256
-2.9250000E-08,0.002310
-2.9200000E-08,0.002365
-2.9150000E-08,0.002424
-2.9100000E-08,0.002484
-2.9050000E-08,0.002548
-2.9000000E-08,0.002614
-2.8950000E-08,0.002680
-2.8900000E-08,0.002747
-2.8850000E-08,0.002814
-2.8800000E-08,0.002878
-2.8750000E-08,0.002939
-2.8700000E-08,0.002996
-2.8650000E-08,0.003046
-2.8600000E-08,0.003092
-2.8550000E-08,0.003127
-2.8500000E-08,0.003156
-2.8450000E-08,0.003173
-2.8400000E-08,0.003181
-2.8350000E-08,0.003179
-2.8300000E-08,0.003168
-2.8250000E-08,0.003146
-2.8200000E-08,0.003116
-2.8150000E-08,0.003075
-2.8100000E-08,0.003028
-2.8050000E-08,0.002973
-2.8000000E-08,0.002911
-2.7950000E-08,0.002845
-2.7900000E-08,0.002771
-2.7850000E-08,0.002693
-2.7800000E-08,0.002610
-2.7750000E-08,0.002524
-2.7700000E-08,0.002434
-2.7650000E-08,0.002338
-2.7600000E-08,0.002238
-2.7550000E-08,0.002131
-2.7500000E-08,0.002018
-2.7450000E-08,0.001898
-2.7400000E-08,0.001768
-2.7350000E-08,0.001630
-2.7300000E-08,0.001480
-2.7250000E-08,0.001321
-2.7200000E-08,0.001149
-2.7150000E-08,0.000966
-2.7100000E-08,0.000770
-2.7050000E-08,0.000563
-2.7000000E-08,0.000344
-2.6950000E-08,0.000115
-2.6900000E-08,-0.000124
-2.6850000E-08,-0.000370
-2.6800000E-08,-0.000615
-2.6750000E-08,-0.000872
-2.6700000E-08,-0.001134
-2.6650000E-08,-0.001397
-2.6600000E-08,-0.001658
-2.6550000E-08,-0.001918
-2.6500000E-08,-0.002173
-2.6450000E-08,-0.002423
-2.6400000E-08,-0.002667
-2.6350000E-08,-0.002902
-2.6300000E-08,-0.003129
-2.6250000E-08,-0.003349
-2.6200000E-08,-0.003557
-2.6150000E-08,-0.003760
-2.6100000E-08,-0.003952
-2.6050000E-08,-0.004136
-2.6000000E-08,-0.004313
-2.5950000E-08,-0.004483
-2.5900000E-08,-0.004644
-2.5850000E-08,-0.004801
-2.5800000E-08,-0.004951
-2.5750000E-08,-0.005096
-2.5700000E-08,-0.005233
-2.5650000E-08,-0.005364
-2.5600000E-08,-0.005488
-2.5550000E-08,-0.005603
-2.5500000E-08,-0.005709
-2.5450000E-08,-0.005805
-2.5400000E-08,-0.005889
-2.5350000E-08,-0.005959
-2.5300000E-08,-0.006014
-2.5250000E-08,-0.006055
-2.5200000E-08,-0.006077
