LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:40:11,0                 
Time,Ampl
4.5693422E-07,-0.010413
4.5698422E-07,-0.010400
4.5703422E-07,-0.010389
4.5708422E-07,-0.010379
4.5713422E-07,-0.010371
4.5718422E-07,-0.010363
4.5723422E-07,-0.010356
4.5728422E-07,-0.010348
4.5733422E-07,-0.010341
4.5738422E-07,-0.010333
4.5743422E-07,-0.010324
4.5748422E-07,-0.010314
4.5753422E-07,-0.010302
4.5758422E-07,-0.010289
4.5763422E-07,-0.010274
4.5768422E-07,-0.010258
4.5773422E-07,-0.010240
4.5778422E-07,-0.010221
4.5783422E-07,-0.010202
4.5788422E-07,-0.010182
4.5793422E-07,-0.010163
4.5798422E-07,-0.010145
4.5803422E-07,-0.010128
4.5808422E-07,-0.010113
4.5813422E-07,-0.010101
4.5818422E-07,-0.010091
4.5823422E-07,-0.010084
4.5828422E-07,-0.010081
4.5833422E-07,-0.010081
4.5838422E-07,-0.010084
4.5843422E-07,-0.010090
4.5848422E-07,-0.010100
4.5853422E-07,-0.010111
4.5858422E-07,-0.010125
4.5863422E-07,-0.010140
4.5868422E-07,-0.010156
4.5873422E-07,-0.010172
4.5878422E-07,-0.010188
4.5883422E-07,-0.010203
4.5888422E-07,-0.010217
4.5893422E-07,-0.010229
4.5898422E-07,-0.010239
4.5903422E-07,-0.010247
4.5908422E-07,-0.010253
4.5913422E-07,-0.010256
4.5918422E-07,-0.010258
4.5923422E-07,-0.010258
4.5928422E-07,-0.010257
4.5933422E-07,-0.010256
4.5938422E-07,-0.010253
4.5943422E-07,-0.010251
4.5948422E-07,-0.010250
4.5953422E-07,-0.010249
4.5958422E-07,-0.010250
4.5963422E-07,-0.010253
4.5968422E-07,-0.010258
4.5973422E-07,-0.010264
4.5978422E-07,-0.010273
4.5983422E-07,-0.010283
4.5988422E-07,-0.010295
4.5993422E-07,-0.010309
4.5998422E-07,-0.010323
4.6003422E-07,-0.010339
4.6008422E-07,-0.010354
4.6013422E-07,-0.010369
4.6018422E-07,-0.010383
4.6023422E-07,-0.010395
4.6028422E-07,-0.010406
4.6033422E-07,-0.010416
4.6038422E-07,-0.010423
4.6043422E-07,-0.010428
4.6048422E-07,-0.010431
4.6053422E-07,-0.010431
4.6058422E-07,-0.010430
4.6063422E-07,-0.010428
4.6068422E-07,-0.010424
4.6073422E-07,-0.010420
4.6078422E-07,-0.010415
4.6083422E-07,-0.010410
4.6088422E-07,-0.010406
4.6093422E-07,-0.010403
4.6098422E-07,-0.010401
4.6103422E-07,-0.010400
4.6108422E-07,-0.010401
4.6113422E-07,-0.010403
4.6118422E-07,-0.010406
4.6123422E-07,-0.010411
4.6128422E-07,-0.010417
4.6133422E-07,-0.010424
4.6138422E-07,-0.010431
4.6143422E-07,-0.010438
4.6148422E-07,-0.010445
4.6153422E-07,-0.010452
4.6158422E-07,-0.010458
4.6163422E-07,-0.010463
4.6168422E-07,-0.010466
4.6173422E-07,-0.010469
4.6178422E-07,-0.010470
4.6183422E-07,-0.010471
4.6188422E-07,-0.010471
4.6193422E-07,-0.010470
4.6198422E-07,-0.010470
4.6203422E-07,-0.010470
4.6208422E-07,-0.010470
4.6213422E-07,-0.010472
4.6218422E-07,-0.010474
4.6223422E-07,-0.010479
4.6228422E-07,-0.010485
4.6233422E-07,-0.010493
4.6238422E-07,-0.010502
4.6243422E-07,-0.010514
4.6248422E-07,-0.010526
4.6253422E-07,-0.010539
4.6258422E-07,-0.010553
4.6263422E-07,-0.010566
4.6268422E-07,-0.010579
4.6273422E-07,-0.010591
4.6278422E-07,-0.010601
4.6283422E-07,-0.010609
4.6288422E-07,-0.010614
4.6293422E-07,-0.010616
4.6298422E-07,-0.010615
4.6303422E-07,-0.010611
4.6308422E-07,-0.010604
4.6313422E-07,-0.010594
4.6318422E-07,-0.010582
4.6323422E-07,-0.010567
4.6328422E-07,-0.010550
4.6333422E-07,-0.010532
4.6338422E-07,-0.010514
4.6343422E-07,-0.010496
4.6348422E-07,-0.010478
4.6353422E-07,-0.010462
4.6358422E-07,-0.010447
4.6363422E-07,-0.010433
4.6368422E-07,-0.010422
4.6373422E-07,-0.010413
4.6378422E-07,-0.010407
4.6383422E-07,-0.010402
4.6388422E-07,-0.010399
4.6393422E-07,-0.010398
