LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:31:45,0                 
Time,Ampl
4.5690207E-07,-0.010738
4.5695207E-07,-0.010736
4.5700207E-07,-0.010734
4.5705207E-07,-0.010730
4.5710207E-07,-0.010725
4.5715207E-07,-0.010718
4.5720207E-07,-0.010710
4.5725207E-07,-0.010700
4.5730207E-07,-0.010688
4.5735207E-07,-0.010676
4.5740207E-07,-0.010662
4.5745207E-07,-0.010648
4.5750207E-07,-0.010633
4.5755207E-07,-0.010618
4.5760207E-07,-0.010603
4.5765207E-07,-0.010589
4.5770207E-07,-0.010577
4.5775207E-07,-0.010566
4.5780207E-07,-0.010556
4.5785207E-07,-0.010548
4.5790207E-07,-0.010542
4.5795207E-07,-0.010537
4.5800207E-07,-0.010534
4.5805207E-07,-0.010533
4.5810207E-07,-0.010532
4.5815207E-07,-0.010531
4.5820207E-07,-0.010531
4.5825207E-07,-0.010530
4.5830207E-07,-0.010528
4.5835207E-07,-0.010525
4.5840207E-07,-0.010520
4.5845207E-07,-0.010512
4.5850207E-07,-0.010503
4.5855207E-07,-0.010491
4.5860207E-07,-0.010477
4.5865207E-07,-0.010461
4.5870207E-07,-0.010443
4.5875207E-07,-0.010424
4.5880207E-07,-0.010404
4.5885207E-07,-0.010383
4.5890207E-07,-0.010363
4.5895207E-07,-0.010344
4.5900207E-07,-0.010326
4.5905207E-07,-0.010310
4.5910207E-07,-0.010296
4.5915207E-07,-0.010286
4.5920207E-07,-0.010279
4.5925207E-07,-0.010275
4.5930207E-07,-0.010275
4.5935207E-07,-0.010278
4.5940207E-07,-0.010284
4.5945207E-07,-0.010293
4.5950207E-07,-0.010304
4.5955207E-07,-0.010317
4.5960207E-07,-0.010331
4.5965207E-07,-0.010346
4.5970207E-07,-0.010361
4.5975207E-07,-0.010376
4.5980207E-07,-0.010390
4.5985207E-07,-0.010402
4.5990207E-07,-0.010413
4.5995207E-07,-0.010422
4.6000207E-07,-0.010429
4.6005207E-07,-0.010434
4.6010207E-07,-0.010436
4.6015207E-07,-0.010438
4.6020207E-07,-0.010438
4.6025207E-07,-0.010436
4.6030207E-07,-0.010434
4.6035207E-07,-0.010432
4.6040207E-07,-0.010430
4.6045207E-07,-0.010428
4.6050207E-07,-0.010426
4.6055207E-07,-0.010426
4.6060207E-07,-0.010426
4.6065207E-07,-0.010428
4.6070207E-07,-0.010431
4.6075207E-07,-0.010435
4.6080207E-07,-0.010440
4.6085207E-07,-0.010446
4.6090207E-07,-0.010452
4.6095207E-07,-0.010459
4.6100207E-07,-0.010465
4.6105207E-07,-0.010472
4.6110207E-07,-0.010477
4.6115207E-07,-0.010482
4.6120207E-07,-0.010486
4.6125207E-07,-0.010489
4.6130207E-07,-0.010490
4.6135207E-07,-0.010491
4.6140207E-07,-0.010490
4.6145207E-07,-0.010488
4.6150207E-07,-0.010486
4.6155207E-07,-0.010483
4.6160207E-07,-0.010479
4.6165207E-07,-0.010476
4.6170207E-07,-0.010472
4.6175207E-07,-0.010469
4.6180207E-07,-0.010465
4.6185207E-07,-0.010463
4.6190207E-07,-0.010461
4.6195207E-07,-0.010460
4.6200207E-07,-0.010459
4.6205207E-07,-0.010459
4.6210207E-07,-0.010458
4.6215207E-07,-0.010458
4.6220207E-07,-0.010458
4.6225207E-07,-0.010457
4.6230207E-07,-0.010456
4.6235207E-07,-0.010454
4.6240207E-07,-0.010450
4.6245207E-07,-0.010445
4.6250207E-07,-0.010439
4.6255207E-07,-0.010431
4.6260207E-07,-0.010421
4.6265207E-07,-0.010410
4.6270207E-07,-0.010397
4.6275207E-07,-0.010383
4.6280207E-07,-0.010369
4.6285207E-07,-0.010354
4.6290207E-07,-0.010338
4.6295207E-07,-0.010323
4.6300207E-07,-0.010308
4.6305207E-07,-0.010295
4.6310207E-07,-0.010282
4.6315207E-07,-0.010272
4.6320207E-07,-0.010263
4.6325207E-07,-0.010256
4.6330207E-07,-0.010251
4.6335207E-07,-0.010249
4.6340207E-07,-0.010248
4.6345207E-07,-0.010249
4.6350207E-07,-0.010252
4.6355207E-07,-0.010256
4.6360207E-07,-0.010261
4.6365207E-07,-0.010267
4.6370207E-07,-0.010273
4.6375207E-07,-0.010279
4.6380207E-07,-0.010284
4.6385207E-07,-0.010289
4.6390207E-07,-0.010293
4.6395207E-07,-0.010297
4.6400207E-07,-0.010299
4.6405207E-07,-0.010301
4.6410207E-07,-0.010303
